Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	400.4	0	200.2	200.2	100	90	0	0.841477	40	39.8	0	376	1697	1	0.763766	1746
2	11709.8	0	5706.85	6002.9	100	90	0	0.841477	40	39.8	0	376	1697	1	0.789976	1746
3	57589.7	0	30239.4	27350.3	100	90	0	0.841477	40	39.8	0	376	1697	1	0.791541	1746
4	180177	0	93841.6	86335.5	100	90	0	0.841477	40	39.8	0	376	1697	1	0.792961	1746
5	409995	0	213168	196827	100	90	0	0.841477	40	39.8	0	376	1697	1	0.793177	1746
6	710247	543	370849	339398	100	90	2.41046	0.841477	40	39.8	0	376	1697	1.00953	0.801317	1746
7	982525	761	517069	465456	100	90	3.119	0.841477	40	39.8	0	376	1697	1.02146	0.809028	1746
8	1.18176e+006	825	627669	554094	100	90	3.27811	0.841477	40	39.8	0	376	1697	1.04783	0.835152	1746
9	1.30904e+006	794	699316	609725	100	90	3.15279	0.841477	40	39.8	0	376	1697	1.07965	0.870277	1746
10	1.39683e+006	757	748497	648337	100	90	3.04809	0.841477	40	39.8	0	376	1697	1.09357	0.883752	1746
11	1.46531e+006	737	787065	678243	100	90	2.97011	0.841477	40	39.8	0	376	1697	1.12139	0.920873	1746
12	1.50248e+006	726	808780	693696	100	90	2.94875	0.841477	40	39.8	0	376	1697	1.14474	0.953586	1746
13	1.55074e+006	725	835784	714956	100	90	2.9396	0.841477	40	39.8	0	376	1697	1.16401	0.982783	1746
14	1.58223e+006	729	853126	729107	100	90	2.95992	0.841477	40	39.8	0	376	1697	1.18342	0.997085	1746
15	1.60186e+006	725	864123	737741	100	90	2.95356	0.841477	40	39.8	0	376	1697	1.20363	1.01775	1746
16	1.62915e+006	729	864181	737249	100	90	2.98049	0.841477	40	39.8	0	376	1697	1.21867	1.03008	1746
17	1.66674e+006	725	872212	743853	100	90	2.96284	0.841477	40	39.8	0	376	1697	1.2428	1.05666	1746
18	1.68421e+006	724	879201	749865	100	90	3.01814	0.841477	40	39.8	0	376	1697	1.23066	1.03715	1746
19	1.69983e+006	729	887143	756544	100	90	3.06758	0.841477	40	39.8	0	376	1697	1.2311	1.03135	1746
20	1.71797e+006	736	898055	764398	100	90	3.11817	0.841477	40	39.8	0	376	1697	1.23692	1.02686	1746
21	1.67822e+006	744	907955	770269	100	90	3.17961	0.841477	40	39.8	0	376	1697	1.23495	1.01914	1746
22	1.68761e+006	748	914095	773513	100	90	1.17536	0.841477	40	39.8	0	376	1697	1.0626	0.861622	1746
23	1.71245e+006	743	924248	788206	100	90	1.1651	0.841477	40	39.8	0	376	1697	1.06604	0.877474	1746
24	1.74274e+006	736	938689	804055	100	90	1.17672	0.841477	40	39.8	0	376	1697	1.07445	0.896883	1746
25	1.74913e+006	721	942382	806743	100	90	1.23416	0.841477	40	39.8	0	376	1697	1.08749	0.933135	1746
26	1.76959e+006	711	954061	815529	100	90	1.32784	0.841477	40	39.8	0	376	1697	1.09927	0.964802	1746
27	1.78954e+006	1356	965523	824019	100	90	2.42853	0.841477	40	39.8	0	376	1697	1.1238	0.993056	1746
28	1.81931e+006	1239	982058	837254	100	90	2.50862	0.841477	40	39.8	0	376	1697	1.15159	1.02297	1746
29	1.8672e+006	1159	1.00855e+006	858650	100	90	2.5599	0.841477	40	39.8	0	376	1697	1.18617	1.06554	1746
30	1.3949e+006	1122	516535	878367	100	90	2.11677	0.841477	40	39.8	0	376	1697	1.52304	1.70811	1746
31	1.45021e+006	987	628756	820808	100	90	1.24005	0.841477	40	39.8	0	376	1697	1.17802	1.02307	1746
32	1.10624e+006	876	329075	776881	100	90	1.01962	0.841477	40	39.8	0	376	1697	1.12094	0.937449	1746
33	1.20501e+006	770	455567	748781	100	90	0.559473	0.841477	40	39.8	0	376	1697	1.05401	0.844109	1746
34	1.27296e+006	682	544844	727272	100	90	0.629524	0.841477	40	39.8	0	376	1697	1.06352	0.864211	1746
35	1.24679e+006	775	572040	673945	100	90	0.947485	0.841477	40	39.8	0	376	1697	1.0861	0.906696	1746
36	1.23132e+006	889	592450	638867	100	90	1.37196	0.841477	40	39.8	0	376	1697	1.10739	0.952128	1746
37	1.19061e+006	914	588821	601787	100	90	1.69307	0.841477	40	39.8	0	376	1697	1.12704	0.987382	1746
38	1.16537e+006	1114	588430	576939	100	90	2.35291	0.841477	40	39.8	0	376	1697	1.14806	1.00412	1746
39	1.14135e+006	921	583981	557366	100	90	2.39111	0.841477	40	39.8	0	376	1697	1.17598	1.01866	1746
40	676118	732	169099	507019	100	90	2.44033	0.841477	40	39.8	425210	376	1697	1.199	1.00619	1746
41	613221	651	125410	487811	100	90	2.57362	0.841477	40	39.8	425210	376	1697	1.246	1.03503	1746
42	680116	610	217528	462588	100	90	2.73326	0.841477	40	39.8	425210	376	1697	1.25575	1.0478	1746
43	744492	555	302837	441655	100	90	2.79454	0.841477	40	39.8	425210	376	1697	1.29933	1.09382	1746
44	790488	514	362849	427638	100	90	2.93054	0.841477	40	39.8	425210	376	1697	1.344	1.11944	1746
45	769031	464	377391	391639	100	90	2.98909	0.841477	40	39.8	425210	376	1697	1.36891	1.12401	1746
46	432733	381	97188.3	335378	100	90	2.94072	0.841477	40	39.8	732761	376	1697	1.40909	1.13738	1746
47	457381	335	148873	301660	100	90	2.89907	0.841477	40	39.8	732761	376	1697	1.4019	1.13523	1746
48	488365	309	198699	279649	100	90	2.89663	0.841477	40	39.8	732761	376	1697	1.40925	1.14844	1746
49	504813	281	228549	262872	100	90	2.88203	0.841477	40	39.8	732761	376	1697	1.46032	1.1681	1746
50	475148	246	230051	233450	100	90	2.97063	0.841477	40	39.8	732761	376	1697	1.46364	1.14146	1746
51	457608	232	235727	221880	100	90	3.02257	0.841477	40	39.8	732761	376	1697	1.44724	1.12432	1746
52	249371	196	52585.8	196785	100	90	0.122274	0.841477	40	39.8	923859	376	1697	1.0071	0.837275	1746
53	466225	177	184671	281554	100	90	0.0827403	0.841477	40	39.8	923859	376	1697	1.00485	0.823987	1746
54	806155	161	364130	442025	100	90	0.0822583	0.841477	40	39.8	923859	376	1697	1.00516	0.827505	1746
55	896489	137	417419	479069	100	90	0.0831758	0.841477	40	39.8	923859	376	1697	1.0059	0.852739	1746
56	869430	121	418483	450947	100	90	0.0911464	0.841477	40	39.8	923859	376	1697	1.00716	0.873923	1746
57	955686	2560	473705	481981	100	90	1.39877	0.841477	40	39.8	923859	376	1697	1.00784	0.869509	1746
58	1.04294e+006	2246	523694	519248	100	90	1.63244	0.841477	40	39.8	923859	376	1697	1.01147	0.856423	1746
59	1.12159e+006	1918	568324	553269	100	90	1.80725	0.841477	40	39.8	923859	376	1697	1.01593	0.860443	1746
60	837104	1646	287727	549377	100	90	1.88038	0.841477	40	39.8	923859	376	1697	1.16644	1.12646	1746
61	897120	1321	388058	508432	100	90	1.27634	0.841477	40	39.8	0	376	1697	1.09153	0.921811	1746
62	967343	1094	458888	507485	100	90	1.06939	0.841477	40	39.8	0	376	1697	1.06449	0.880449	1746
63	1.06547e+006	941	526216	538341	100	90	1.01638	0.841477	40	39.8	0	376	1697	1.0571	0.871726	1746
64	1.13583e+006	770	568378	566595	100	90	1.01719	0.841477	40	39.8	0	376	1697	1.06345	0.872721	1746
65	1.17684e+006	756	594721	581390	100	90	1.15683	0.841477	40	39.8	0	376	1697	1.06787	0.884685	1746
66	1.18979e+006	1330	607144	582645	100	90	2.04995	0.841477	40	39.8	0	376	1697	1.06963	0.886417	1746
67	1.18532e+006	1224	609105	576214	100	90	2.18616	0.841477	40	39.8	0	376	1697	1.07125	0.890613	1746
68	1.1519e+006	1150	594669	557226	100	90	2.33707	0.841477	40	39.8	0	376	1697	1.08353	0.894595	1746
69	1.10443e+006	949	573876	530555	100	90	2.33094	0.841477	40	39.8	0	376	1697	1.0925	0.891422	1746
70	719544	834	211261	508283	100	90	2.38048	0.841477	40	39.8	383012	376	1697	1.09685	0.898515	1746
71	785876	751	304067	481809	100	90	2.46986	0.841477	40	39.8	383012	376	1697	1.1097	0.901639	1746
72	823445	687	370170	453275	100	90	2.61211	0.841477	40	39.8	383012	376	1697	1.12559	0.912782	1746
73	824719	621	399812	424907	100	90	2.73397	0.841477	40	39.8	383012	376	1697	1.14385	0.915282	1746
74	797710	551	401763	395947	100	90	2.75823	0.841477	40	39.8	383012	376	1697	1.16343	0.931818	1746
75	755042	488	387666	367376	100	90	2.81555	0.841477	40	39.8	383012	376	1697	1.19417	0.971861	1746
76	439108	423	112196	326789	100	90	2.76043	0.841477	40	39.8	672640	376	1697	1.18022	0.98	1746
77	491247	393	175101	308349	100	90	2.71229	0.841477	40	39.8	672640	376	1697	1.21053	1.01348	1746
78	535788	369	230586	294121	100	90	2.74357	0.841477	40	39.8	672640	376	1697	1.21039	1.0176	1746
79	547650	339	257072	275159	100	90	2.75644	0.841477	40	39.8	672640	376	1697	1.21552	1.02597	1746
80	500647	284	245955	241567	100	90	2.74874	0.841477	40	39.8	672640	376	1697	1.25	1.02326	1746
81	341514	263	118988	222526	100	90	2.79338	0.841477	40	39.8	672640	376	1697	1.2549	1.03863	1746
82	287981	250	71422.3	216559	100	90	0.120223	0.841477	40	39.8	768748	376	1697	1.00455	0.831201	1746
83	559716	224	231846	327870	100	90	0.0926538	0.841477	40	39.8	768748	376	1697	1.00384	0.830801	1746
84	861886	188	391875	470011	100	90	0.0866251	0.841477	40	39.8	768748	376	1697	1.00334	0.842149	1746
85	887632	171	416194	471438	100	90	0.0898559	0.841477	40	39.8	768748	376	1697	1.00369	0.867106	1746
86	855109	157	415051	440058	100	90	0.0974986	0.841477	40	39.8	768748	376	1697	1.00485	0.883635	1746
87	944978	2901	471280	473698	100	90	1.30839	0.841477	40	39.8	768748	376	1697	1.00582	0.867189	1746
88	1.05751e+006	2397	532186	525320	100	90	1.44061	0.841477	40	39.8	768748	376	1697	1.00758	0.86519	1746
89	1.13019e+006	2021	571658	558533	100	90	1.63047	0.841477	40	39.8	768748	376	1697	1.01217	0.863438	1746
90	843909	1759	288224	555685	100	90	1.77362	0.841477	40	39.8	768748	376	1697	1.14836	1.10638	1746
91	936831	1468	403672	532644	100	90	1.21285	0.841477	40	39.8	0	376	1697	1.0761	0.906667	1746
92	1.00713e+006	1230	475271	531184	100	90	1.02445	0.841477	40	39.8	0	376	1697	1.05298	0.871494	1746
93	1.09039e+006	1044	535011	554613	100	90	0.951454	0.841477	40	39.8	0	376	1697	1.04735	0.864163	1746
94	1.14019e+006	882	568649	570741	100	90	0.966065	0.841477	40	39.8	0	376	1697	1.04908	0.864066	1746
95	1.16708e+006	830	587771	578669	100	90	1.08108	0.841477	40	39.8	0	376	1697	1.05659	0.867902	1746
96	1.17284e+006	1384	595706	577139	100	90	1.82819	0.841477	40	39.8	0	376	1697	1.06014	0.870667	1746
97	1.1518e+006	1303	589762	562034	100	90	1.97731	0.841477	40	39.8	0	376	1697	1.06198	0.873392	1746
98	1.1083e+006	1210	571490	536814	100	90	2.15484	0.841477	40	39.8	0	376	1697	1.06752	0.879828	1746
99	1.0839e+006	1032	561741	522154	100	90	2.16274	0.841477	40	39.8	0	376	1697	1.0792	0.887324	1746
100	709724	891	211748	497976	100	90	2.20003	0.841477	40	39.8	357972	376	1697	1.09035	0.903037	1746
101	797930	824	315319	482611	100	90	2.32756	0.841477	40	39.8	357972	376	1697	1.1042	0.910127	1746
102	809182	722	370311	438870	100	90	2.40442	0.841477	40	39.8	357972	376	1697	1.12472	0.937591	1746
103	801583	628	393258	408325	100	90	2.50556	0.841477	40	39.8	357972	376	1697	1.1409	0.934891	1746
104	804239	589	406839	397400	100	90	2.55422	0.841477	40	39.8	357972	376	1697	1.15325	0.942652	1746
105	758336	526	388131	370205	100	90	2.54431	0.841477	40	39.8	357972	376	1697	1.18053	0.945783	1746
106	440009	450	110978	329009	100	90	2.51673	0.841477	40	39.8	641976	376	1697	1.19794	0.967059	1746
107	484081	407	175125	300856	100	90	2.54854	0.841477	40	39.8	641976	376	1697	1.20843	0.984375	1746
108	494006	359	218126	264754	100	90	2.57104	0.841477	40	39.8	641976	376	1697	1.21505	0.994048	1746
109	523844	341	250007	258288	100	90	2.59526	0.841477	40	39.8	641976	376	1697	1.22	0.990566	1746
110	527454	329	261660	251372	100	90	2.65193	0.841477	40	39.8	641976	376	1697	1.20669	0.986667	1746
111	490213	309	253607	236606	100	90	2.76356	0.841477	40	39.8	641976	376	1697	1.17905	0.949458	1746
112	292663	278	72037.5	220626	100	90	0.1351	0.841477	40	39.8	826676	376	1697	1.00395	0.843664	1746
113	582157	256	244780	337377	100	90	0.0974402	0.841477	40	39.8	826676	376	1697	1.00331	0.840991	1746
114	883210	241	405359	477851	100	90	0.101824	0.841477	40	39.8	826676	376	1697	1.00348	0.846622	1746
115	653876	211	187846	466030	100	90	0.103574	0.841477	40	39.8	826676	376	1697	1.00386	0.87432	1746
116	514272	182	102148	412124	100	90	0.109757	0.841477	40	39.8	826676	376	1697	1.00454	0.892621	1746
117	662917	2973	223642	439275	100	90	1.36557	0.841477	40	39.8	826676	376	1697	1.00557	0.887881	1746
118	879436	2859	362293	517143	100	90	1.79103	0.841477	40	39.8	826676	376	1697	1.00868	0.885849	1746
119	777642	2425	220919	556723	100	90	1.9906	0.841477	40	39.8	826676	376	1697	1.01014	0.895135	1746
120	675950	2105	154761	521188	100	90	1.97683	0.841477	38	39.8	826676	376	1697	1.10821	1.05369	1746
121	786134	1739	284900	500488	100	90	1.12795	0.841477	40	39.8	0	376	1697	1.04551	0.898921	1746
122	915542	1453	397339	517391	100	90	0.949719	0.841477	40	39.8	0	376	1697	1.03104	0.880617	1746
123	1.05376e+006	1187	494584	558105	100	90	0.847774	0.841477	40	39.8	0	376	1697	1.02659	0.874538	1746
124	1.13742e+006	963	552168	584290	100	90	0.867114	0.841477	40	39.8	0	376	1697	1.02985	0.881413	1746
125	1.20008e+006	923	594398	604766	100	90	0.994833	0.841477	40	39.8	0	376	1697	1.03533	0.888332	1746
126	1.20793e+006	1606	607205	600724	100	90	1.75296	0.841477	40	39.8	0	376	1697	1.03748	0.878972	1746
127	859371	1454	281658	577714	100	90	1.88786	0.841477	40	39.8	0	376	1697	1.04343	0.884298	1746
128	928554	1341	377712	550842	100	90	2.03059	0.841477	40	39.8	0	376	1697	1.04632	0.88204	1746
