Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	443.8	0	221.9	221.9	100	60	0	0.807861	39	38.3	0	0	2222	1	0.878583	2010
2	8874.5	0	3479.16	5395.34	100	60	0	0.807861	39	38.3	0	0	2222	1	0.867903	2010
3	41096	0	19156.1	21939.8	100	60	0	0.807861	39	38.3	0	0	2222	1	0.868233	2010
4	122644	0	57510.7	65132.9	100	60	0	0.807861	39	38.3	0	0	2222	1	0.867155	2010
5	273730	0	128443	145286	100	60	0	0.807861	39	38.3	0	0	2222	1	0.868085	2010
6	482456	570	226840	255616	100	60	2.49708	0.807861	39	38.3	0	0	2222	1.00317	0.872156	2010
7	693907	787	328807	365100	100	60	3.18127	0.807861	39	38.3	0	0	2222	1.01278	0.882022	2010
8	863469	844	415023	448446	100	60	3.34118	0.807861	39	38.3	0	0	2222	1.02578	0.89455	2010
9	994510	802	484110	510400	100	60	3.18878	0.807861	39	38.3	0	0	2222	1.04886	0.920299	2010
10	1.07113e+006	756	526796	544338	100	60	3.05185	0.807861	39	38.3	0	0	2222	1.0663	0.94591	2010
11	1.14573e+006	731	569028	576700	100	60	2.96551	0.807861	39	38.3	0	0	2222	1.08632	0.965894	2010
12	1.21666e+006	714	608640	608018	100	60	2.91989	0.807861	39	38.3	0	0	2222	1.10599	1	2010
13	1.25591e+006	697	631637	624272	100	60	2.89108	0.807861	39	38.3	0	0	2222	1.12247	1.0189	2010
14	1.29067e+006	689	652457	638216	100	60	2.89594	0.807861	39	38.3	0	0	2222	1.13848	1.0237	2010
15	1.3223e+006	685	670654	651647	100	60	2.88393	0.807861	39	38.3	0	0	2222	1.17132	1.0494	2010
16	1.34797e+006	676	675636	652747	100	60	2.90415	0.807861	39	38.3	0	0	2222	1.18651	1.06718	2010
17	1.38691e+006	680	687566	661508	100	60	2.95217	0.807861	39	38.3	0	0	2222	1.19645	1.07573	2010
18	1.41522e+006	679	698898	672899	100	60	3.01227	0.807861	39	38.3	0	0	2222	1.19468	1.07367	2010
19	1.43589e+006	672	709140	682361	100	60	3.0464	0.807861	39	38.3	0	0	2222	1.18938	1.05556	2010
20	1.44898e+006	673	717027	688142	100	60	3.11957	0.807861	39	38.3	0	0	2222	1.18676	1.04019	2010
21	1.40872e+006	670	720012	688712	100	60	3.14593	0.807861	39	38.3	0	0	2222	1.1848	1.03105	2010
22	1.41306e+006	668	722815	690241	100	60	0.746535	0.807861	39	38.3	0	0	2222	1.029	0.898263	2010
23	1.43351e+006	661	726876	706635	100	60	0.753725	0.807861	39	38.3	0	0	2222	1.03207	0.908107	2010
24	1.44601e+006	648	730589	715417	100	60	0.760368	0.807861	39	38.3	0	0	2222	1.03465	0.931888	2010
25	1.43255e+006	628	724890	707660	100	60	0.836126	0.807861	39	38.3	0	0	2222	1.04013	0.958474	2010
26	1.45295e+006	619	734960	717987	100	60	0.965311	0.807861	39	38.3	0	0	2222	1.04843	0.978889	2010
27	1.48476e+006	1543	749233	735527	100	60	2.37981	0.807861	39	38.3	0	0	2222	1.06755	0.995995	2010
28	1.50972e+006	1417	760629	749089	100	60	2.50968	0.807861	39	38.3	0	0	2222	1.08593	1.00335	2010
29	1.53034e+006	1326	769336	761000	100	60	2.59431	0.807861	39	38.3	0	0	2222	1.10151	1.00986	2010
30	1.17881e+006	1273	395706	783105	100	60	2.24473	0.807861	39	38.3	0	0	2222	1.34679	1.42219	2010
31	1.18517e+006	1076	463515	721476	100	60	1.04516	0.807861	39	38.3	0	0	2222	1.0984	0.98498	2010
32	1.15292e+006	919	483154	669402	100	60	0.863883	0.807861	39	38.3	0	0	2222	1.07285	0.95483	2010
33	1.09723e+006	781	476060	620825	100	60	0.736234	0.807861	39	38.3	0	0	2222	1.05516	0.938208	2010
34	1.09542e+006	687	488128	606955	100	60	0.845273	0.807861	39	38.3	0	0	2222	1.06216	0.950198	2010
35	800458	737	226836	573545	100	60	1.16646	0.807861	39	38.3	0	0	2222	1.08049	0.982882	2010
36	830145	793	289618	540527	100	60	1.48722	0.807861	39	38.3	0	0	2222	1.09432	1.00341	2010
37	867304	964	347071	520233	100	60	2.03316	0.807861	39	38.3	0	0	2222	1.10033	1.00171	2010
38	877407	1051	376610	500797	100	60	2.58715	0.807861	39	38.3	0	0	2222	1.1192	1.00719	2010
39	832354	863	375002	457352	100	60	2.65609	0.807861	39	38.3	0	0	2222	1.13545	1.01247	2010
40	601798	741	160748	441050	100	60	2.68719	0.807861	39	38.3	242841	0	2222	1.15601	1.03353	2010
41	609012	619	204540	404472	100	60	2.71547	0.807861	39	38.3	242841	0	2222	1.16755	1.05079	2010
42	621558	540	244608	376949	100	60	2.69721	0.807861	39	38.3	242841	0	2222	1.17147	1.066	2010
43	635688	488	273016	362672	100	60	2.73815	0.807861	39	38.3	242841	0	2222	1.17414	1.07317	2010
44	629314	448	286536	342778	100	60	2.79274	0.807861	39	38.3	242841	0	2222	1.18713	1.09314	2010
45	594765	397	280233	314532	100	60	2.80629	0.807861	39	38.3	242841	0	2222	1.2235	1.12707	2010
46	598298	376	283761	304988	100	60	2.8828	0.807861	39	38.3	242841	0	2222	1.23529	1.12979	2010
47	436146	353	140396	292330	100	60	2.88689	0.807861	39	38.3	242841	0	2222	1.25562	1.13924	2010
48	432770	307	164340	260076	100	60	2.89161	0.807861	39	38.3	242841	0	2222	1.24272	1.14286	2010
49	338658	283	97397	238948	100	60	2.94429	0.807861	39	38.3	242841	0	2222	1.22535	1.10588	2010
50	350262	260	127454	220750	100	60	3.04831	0.807861	39	38.3	242841	0	2222	1.236	1.11159	2010
51	361924	238	152352	209572	100	60	3.0485	0.807861	39	38.3	242841	0	2222	1.24017	1.12676	2010
52	261022	231	59181.9	201840	100	60	0.290276	0.807861	39	38.3	362909	0	2222	1.01145	0.983658	2010
53	315195	199	101982	213213	100	60	0.185463	0.807861	39	38.3	362909	0	2222	1.00774	0.98529	2010
54	440390	166	180696	259694	100	60	0.151994	0.807861	39	38.3	362909	0	2222	1.00637	0.983068	2010
55	610120	135	263791	346329	100	60	0.134241	0.807861	39	38.3	362909	0	2222	1.00695	0.984953	2010
56	738813	116	323064	415749	100	60	0.136521	0.807861	39	38.3	362909	0	2222	1.00785	0.989249	2010
57	765329	2034	338862	426467	100	60	1.37861	0.807861	39	38.3	362909	0	2222	1.00955	0.992391	2010
58	785026	1991	356361	428666	100	60	1.53662	0.807861	39	38.3	362909	0	2222	1.01026	0.997277	2010
59	810956	1720	378716	432240	100	60	1.62599	0.807861	39	38.3	362909	0	2222	1.0109	1.00051	2010
60	635526	1588	199574	435952	100	60	1.6165	0.807861	38	38.3	362909	0	2222	1.15696	1.27753	2010
61	676901	1284	272011	404260	100	60	1.46683	0.807861	39	38.3	0	0	2222	1.12641	1.1463	2010
62	714082	1100	318933	394284	100	60	1.44017	0.807861	39	38.3	0	0	2222	1.08556	1.07054	2010
63	706445	918	334601	370876	100	60	1.37867	0.807861	39	38.3	0	0	2222	1.06046	1.03161	2010
64	550897	809	177176	373381	100	60	1.42787	0.807861	39	38.3	0	0	2222	1.05164	1.01604	2010
65	602661	753	237059	365317	100	60	1.5527	0.807861	39	38.3	0	0	2222	1.05538	1.01583	2010
66	679416	957	300158	379258	100	60	2.03756	0.807861	39	38.3	0	0	2222	1.0559	1.01233	2010
67	725742	964	340982	384760	100	60	2.31545	0.807861	39	38.3	0	0	2222	1.05964	1.01257	2010
68	737183	911	359348	377835	100	60	2.47409	0.807861	39	38.3	0	0	2222	1.06972	1.02235	2010
69	733004	798	366435	366569	100	60	2.46186	0.807861	39	38.3	0	0	2222	1.08251	1.04209	2010
70	489948	683	148059	341889	100	60	2.44337	0.807861	39	38.3	26747.7	0	2222	1.09719	1.05663	2010
71	492324	584	187775	304549	100	60	2.48854	0.807861	39	38.3	26747.7	0	2222	1.10654	1.06806	2010
72	391622	523	108930	282692	100	60	2.48467	0.807861	39	38.3	26747.7	0	2222	1.12737	1.09234	2010
73	407663	471	147094	260568	100	60	2.53809	0.807861	39	38.3	26747.7	0	2222	1.13255	1.09011	2010
74	417827	415	179439	238387	100	60	2.60207	0.807861	39	38.3	26747.7	0	2222	1.13761	1.09596	2010
75	430953	384	201696	229257	100	60	2.60575	0.807861	39	38.3	26747.7	0	2222	1.16709	1.11538	2010
76	420522	338	203229	209889	100	60	2.5858	0.807861	39	38.3	26747.7	0	2222	1.19412	1.1442	2010
77	408380	308	199959	195991	100	60	2.56992	0.807861	39	38.3	26747.7	0	2222	1.20984	1.15734	2010
78	287653	279	99883	185250	100	60	2.62619	0.807861	39	38.3	26747.7	0	2222	1.19203	1.12308	2010
79	287411	248	116202	165517	100	60	2.64575	0.807861	39	38.3	26747.7	0	2222	1.20082	1.1179	2010
80	277760	215	125641	147277	100	60	2.64594	0.807861	39	38.3	26747.7	0	2222	1.22596	1.13333	2010
81	286424	211	140054	146370	100	60	2.67858	0.807861	39	38.3	26747.7	0	2222	1.24242	1.14815	2010
82	206519	192	63882	142637	100	60	0.118781	0.807861	39	38.3	111364	0	2222	1.00425	0.981042	2010
83	271558	157	65062.9	206495	100	60	0.0799243	0.807861	39	38.3	111364	0	2222	1.0032	0.979062	2010
84	498183	144	175209	322973	100	60	0.0707613	0.807861	39	38.3	111364	0	2222	1.00278	0.981079	2010
85	610753	120	230808	379945	100	60	0.0676875	0.807861	39	38.3	111364	0	2222	1.0025	0.986778	2010
86	620682	110	246395	374287	100	60	0.0758909	0.807861	39	38.3	111364	0	2222	1.00293	0.992014	2010
87	613883	2163	258696	355187	100	60	1.04069	0.807861	39	38.3	111364	0	2222	1.00402	0.995223	2010
88	676853	2073	299878	376974	100	60	1.1988	0.807861	39	38.3	111364	0	2222	1.00455	0.996468	2010
89	742931	1902	340400	402531	100	60	1.50432	0.807861	39	38.3	111364	0	2222	1.00602	0.994877	2010
90	586596	1666	180343	406253	100	60	1.61465	0.807861	37	38.3	111364	0	2222	1.1046	1.1747	2010
91	623749	1322	249614	373123	100	60	1.21795	0.807861	39	38.3	0	0	2222	1.06248	1.05103	2010
92	703593	1159	313127	389025	100	60	1.10337	0.807861	39	38.3	0	0	2222	1.04066	1.01948	2010
93	742078	994	349506	390859	100	60	1.05449	0.807861	39	38.3	0	0	2222	1.02847	1.00548	2010
94	790552	866	381903	407096	100	60	1.09761	0.807861	39	38.3	0	0	2222	1.0297	1.00311	2010
95	617425	789	197610	419467	100	60	1.2012	0.807861	39	38.3	0	0	2222	1.03507	1.0087	2010
96	662257	1210	258821	403436	100	60	1.82316	0.807861	39	38.3	0	0	2222	1.042	1.01189	2010
97	717256	1222	313797	403459	100	60	2.02789	0.807861	39	38.3	0	0	2222	1.04461	1.01168	2010
98	747517	1158	348806	398712	100	60	2.15739	0.807861	39	38.3	0	0	2222	1.04679	1.01573	2010
99	760190	1016	368681	391509	100	60	2.13582	0.807861	39	38.3	0	0	2222	1.05136	1.02587	2010
100	628948	876	261946	367002	100	60	2.10972	0.807861	39	38.3	114283	0	2222	1.06092	1.04042	2010
101	644140	793	295108	349033	100	60	2.15517	0.807861	39	38.3	114283	0	2222	1.06647	1.04348	2010
102	611227	685	296912	314315	100	60	2.12561	0.807861	39	38.3	114283	0	2222	1.06706	1.04425	2010
103	591108	609	296288	294820	100	60	2.18034	0.807861	39	38.3	114283	0	2222	1.07928	1.0598	2010
104	557145	538	284863	272282	100	60	2.17413	0.807861	39	38.3	114283	0	2222	1.09395	1.07736	2010
