Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	460.6	0	230.3	230.3	100	60	0	0.803067	39	38.6	0	0	1837	1	0.865979	1675
2	8749.87	0	3434.79	5315.09	100	60	0	0.803067	39	38.6	0	0	1837	1	0.864644	1675
3	40702	0	18996.5	21705.5	100	60	0	0.803067	39	38.6	0	0	1837	1	0.864048	1675
4	121342	0	57079.7	64262.4	100	60	0	0.803067	39	38.6	0	0	1837	1	0.863869	1675
5	267152	0	125522	141630	100	60	0	0.803067	39	38.6	0	0	1837	1	0.862579	1675
6	470181	556	221641	248539	100	60	2.44072	0.803067	39	38.6	0	0	1837	1.00315	0.866812	1675
7	686405	776	325732	360673	100	60	3.13761	0.803067	39	38.6	0	0	1837	1.0138	0.882486	1675
8	875288	850	419962	455327	100	60	3.33819	0.803067	39	38.6	0	0	1837	1.03219	0.903529	1675
9	1.00429e+006	790	486967	517322	100	60	3.16548	0.803067	39	38.6	0	0	1837	1.04575	0.921519	1675
10	1.09171e+006	748	535662	556045	100	60	3.0109	0.803067	39	38.6	0	0	1837	1.06718	0.950601	1675
11	1.16833e+006	719	579782	588548	100	60	2.91566	0.803067	39	38.6	0	0	1837	1.08866	0.973611	1675
12	1.23025e+006	702	614679	615566	100	60	2.87381	0.803067	39	38.6	0	0	1837	1.10472	0.998573	1675
13	1.2747e+006	689	641347	633349	100	60	2.87706	0.803067	39	38.6	0	0	1837	1.12186	1.01173	1675
14	1.32416e+006	685	669664	654493	100	60	2.8827	0.803067	39	38.6	0	0	1837	1.14568	1.03269	1675
15	1.35144e+006	678	685282	666156	100	60	2.9023	0.803067	39	38.6	0	0	1837	1.15198	1.04545	1675
16	1.37766e+006	671	690225	667751	100	60	2.9162	0.803067	39	38.6	0	0	1837	1.16844	1.05873	1675
17	1.40131e+006	672	694165	669419	100	60	2.95869	0.803067	39	38.6	0	0	1837	1.18044	1.0721	1675
