Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	578	0	289	289	100	90	0	0.795532	52	51.5	0	602	1655	1	0.769521	1986
2	16823.6	0	8173.58	8650.03	100	90	0	0.795532	52	51.5	0	602	1655	1	0.767279	1986
3	76550.4	0	40901.6	35648.9	100	90	0	0.795532	52	51.5	0	602	1655	1	0.761468	1986
4	228276	0	121322	106954	100	90	0	0.795532	52	51.5	0	602	1655	1	0.761942	1986
5	496128	0	262217	233912	100	90	0	0.795532	52	51.5	0	602	1655	1.00079	0.765523	1986
6	823029	762	434601	388428	100	90	2.71783	0.795532	52	51.5	0	602	1655	1.00405	0.768054	1986
7	1.11133e+006	994	589816	521512	100	90	3.32149	0.795532	52	51.5	0	602	1655	1.01962	0.782805	1986
8	1.31877e+006	1026	704741	614025	100	90	3.42729	0.795532	52	51.5	0	602	1655	1.02745	0.785575	1986
9	1.45696e+006	953	782700	674256	100	90	3.24406	0.795532	52	51.5	0	602	1655	1.04149	0.801679	1986
10	1.55367e+006	910	839879	713794	100	90	3.13864	0.795532	52	51.5	0	602	1655	1.06076	0.820682	1986
11	1.61073e+006	867	874370	736356	100	90	3.09742	0.795532	52	51.5	0	602	1655	1.06685	0.828704	1986
12	1.64724e+006	832	896738	750505	100	90	3.03377	0.795532	52	51.5	0	602	1655	1.08318	0.846902	1986
13	1.69193e+006	810	923019	768914	100	90	3.03766	0.795532	52	51.5	0	602	1655	1.10049	0.87202	1986
14	1.71524e+006	798	937212	778025	100	90	3.06548	0.795532	52	51.5	0	602	1655	1.12266	0.906615	1986
15	1.75128e+006	797	958762	792522	100	90	3.09289	0.795532	52	51.5	0	602	1655	1.12862	0.919631	1986
16	1.76988e+006	788	956338	788524	100	90	3.12756	0.795532	52	51.5	0	602	1655	1.14174	0.933694	1986
17	1.81089e+006	779	966167	795933	100	90	3.14855	0.795532	52	51.5	0	602	1655	1.15197	0.936552	1986
18	1.85616e+006	785	987936	813175	100	90	3.27026	0.795532	52	51.5	0	602	1655	1.14927	0.930362	1986
19	1.87459e+006	785	998194	820155	100	90	3.35014	0.795532	52	51.5	0	602	1655	1.14806	0.918539	1986
20	1.87665e+006	784	1.00165e+006	819494	100	90	3.3823	0.795532	52	51.5	0	602	1655	1.15237	0.913793	1986
21	1.84501e+006	779	1.0165e+006	828508	100	90	3.40163	0.795532	52	51.5	0	602	1655	1.15776	0.915942	1986
22	1.84029e+006	775	1.0148e+006	825491	100	90	1.38925	0.795532	52	51.5	0	602	1655	1.05288	0.749526	1986
23	1.8622e+006	772	1.0238e+006	838396	100	90	1.35982	0.795532	52	51.5	0	602	1655	1.05479	0.753252	1986
24	1.88746e+006	763	1.03594e+006	851521	100	90	1.37042	0.795532	52	51.5	0	602	1655	1.05843	0.765645	1986
25	1.89467e+006	756	1.04016e+006	854518	100	90	1.45548	0.795532	52	51.5	0	602	1655	1.06938	0.803039	1986
26	1.90935e+006	748	1.04908e+006	860264	100	90	1.59154	0.795532	52	51.5	0	602	1655	1.08349	0.827236	1986
27	1.90479e+006	1276	1.04671e+006	858078	100	90	2.68892	0.795532	52	51.5	0	602	1655	1.10802	0.856571	1986
28	1.92806e+006	1204	1.05917e+006	868887	100	90	2.83921	0.795532	52	51.5	0	602	1655	1.13464	0.883186	1986
29	1.95351e+006	1131	1.07254e+006	880963	100	90	2.8721	0.795532	52	51.5	0	602	1655	1.15246	0.8875	1986
30	1.4463e+006	1097	547151	899152	100	90	2.35144	0.795532	52	51.5	0	602	1655	1.4992	1.46922	1986
31	1.488e+006	967	657504	828143	100	90	1.33255	0.795532	52	51.5	0	602	1655	1.15868	0.886364	1986
32	1.48109e+006	863	698424	779010	100	90	1.04737	0.795532	52	51.5	0	602	1655	1.09863	0.784623	1986
33	1.44663e+006	751	708510	734652	100	90	0.85414	0.795532	52	51.5	0	602	1655	1.07185	0.760351	1986
34	1.44611e+006	672	724272	718361	100	90	0.95949	0.795532	52	51.5	0	602	1655	1.08174	0.774436	1986
35	1.40268e+006	739	714025	685450	100	90	1.23096	0.795532	52	51.5	0	602	1655	1.09915	0.801905	1986
36	1.34941e+006	760	698244	651164	100	90	1.46014	0.795532	52	51.5	0	602	1655	1.10845	0.828929	1986
37	1.31149e+006	875	685615	625875	100	90	1.92302	0.795532	52	51.5	0	602	1655	1.12221	0.841155	1986
38	1.24518e+006	979	656486	588690	100	90	2.49176	0.795532	52	51.5	0	602	1655	1.1387	0.847973	1986
39	1.19904e+006	826	636786	562251	100	90	2.62049	0.795532	52	51.5	0	602	1655	1.16185	0.865772	1986
40	1.14811e+006	677	614102	534005	100	90	2.64755	0.795532	52	51.5	0	602	1655	1.18531	0.866337	1986
41	1.07537e+006	567	578356	497010	100	90	2.59812	0.795532	52	51.5	0	602	1655	1.20446	0.889328	1986
42	1.05224e+006	510	568580	483661	100	90	2.68796	0.795532	52	51.5	0	602	1655	1.24094	0.917595	1986
43	992150	459	538334	453816	100	90	2.71351	0.795532	52	51.5	0	602	1655	1.28125	0.943069	1986
44	931352	415	507100	424252	100	90	2.73234	0.795532	52	51.5	0	602	1655	1.29167	0.953168	1986
45	889123	385	485522	403601	100	90	2.74869	0.795532	52	51.5	0	602	1655	1.32477	0.98209	1986
46	863532	357	465660	384048	100	90	2.76606	0.795532	52	51.5	0	602	1655	1.37037	1.01639	1986
47	790281	323	421952	345267	100	90	2.84261	0.795532	52	51.5	0	602	1655	1.38462	1.00362	1986
48	719746	279	384911	311581	100	90	2.84604	0.795532	52	51.5	0	602	1655	1.39855	0.983264	1986
49	678113	254	363565	292287	100	90	2.94804	0.795532	52	51.5	0	602	1655	1.41152	0.958716	1986
50	659107	237	355331	283091	100	90	3.04308	0.795532	52	51.5	0	602	1655	1.42857	0.954774	1986
