Time	Inds	seedlings	seeds	repromass	cover	shootmass	PFT
1	0	11	19	0	0	11	LECAcl4plb
1	0	18	12	0	0	18	LECIcl3plb
1	0	13	17	0	0	13	LECIcl4plb
1	0	18	12	0	0	18	LSCAplb
1	0	9	21	0	0	9	LSCIcl1plb
1	0	19	11	0	0	19	LSCIcl2plb
1	0	14	16	0	0	14	LSCIcl3plb
1	0	16	14	0	0	16	LSCIplb
1	0	14	16	0	0	14	LSCTcl3plb
1	0	13	16	0	0	13	LSCTplb
1	0	13	17	0	0	3.9	MECAcl4plb
1	0	19	11	0	0	5.7	MECIcl3plb
1	0	13	17	0	0	3.9	MECIcl4plb
1	0	10	20	0	0	3	MECTcl3peb
1	0	18	12	0	0	5.4	MECTplb
1	0	16	14	0	0	4.8	MEITplb
1	0	15	14	0	0	4.5	MESTcl3plb
1	0	14	16	0	0	4.2	MRITcl3peb
1	0	16	14	0	0	4.8	MSCAcl1plb
1	0	16	14	0	0	4.8	MSCAcl2plb
1	0	13	17	0	0	3.9	MSCAcl3plb
1	0	19	11	0	0	5.7	MSCAplb
1	0	9	21	0	0	2.7	MSCIcl3plb
1	0	16	14	0	0	4.8	MSCIplb
1	0	16	14	0	0	4.8	MSCTcl1plb
1	0	18	12	0	0	5.4	MSCTcl2plb
1	0	14	16	0	0	4.2	MSIAcl3plb
1	0	18	12	0	0	5.4	MSIAcl4plb
1	0	12	16	0	0	3.6	MSIIcl1plb
1	0	13	17	0	0	3.9	MSIIplb
1	0	9	20	0	0	2.7	MSITcl3plb
1	0	16	14	0	0	4.8	MSITcl4plb
1	0	10	19	0	0	3	MSSAcl4plb
1	0	14	16	0	0	1.4	SECAcl3plb
1	0	16	14	0	0	1.6	SECTcl3peb
1	0	12	18	0	0	1.2	SECTpeb
1	0	18	11	0	0	1.8	SEIAcl4peb
1	0	11	19	0	0	1.1	SEIAplb
1	0	12	18	0	0	1.2	SEIIcl1peb
1	0	14	16	0	0	1.4	SEITcl1plb
1	0	11	19	0	0	1.1	SEITcl3peb
1	0	17	13	0	0	1.7	SEITcl4peb
1	0	15	15	0	0	1.5	SESTcl4plb
1	0	11	19	0	0	1.1	SRIAcl1peb
1	0	12	18	0	0	1.2	SRIAcl1plb
1	0	13	17	0	0	1.3	SRIAcl3plb
1	0	16	14	0	0	1.6	SRIAcl4peb
1	0	19	11	0	0	1.9	SRITcl3peb
1	0	11	19	0	0	1.1	SRITcl3plb
1	0	15	15	0	0	1.5	SSCTplb
1	0	12	18	0	0	1.2	SSIAcl4plb
1	0	9	21	0	0	0.9	SSIIplb
2	0	20	10	0	0.000367537	131.374	LECAcl4plb
2	0	23	7	0	0.000601423	205.249	LECIcl3plb
2	0	21	9	0	0.000434361	152.624	LECIcl4plb
2	0	21	9	0	0.000601423	212.841	LSCAplb
2	0	18	12	0	0.000300712	109.124	LSCIcl1plb
2	0	26	4	0	0.000634836	218.373	LSCIcl2plb
2	0	21	9	0	0.000467774	162.748	LSCIcl3plb
2	0	24	6	0	0.000534599	194.525	LSCIplb
2	0	22	8	0	0.000467774	163.748	LSCTcl3plb
2	0	21	8	0	0.000434361	159.551	LSCTplb
2	0	24	5	0	0.000434361	128.7	MECAcl4plb
2	0	27	3	0	0.000634836	200.475	MECIcl3plb
2	0	22	8	0	0.000434361	138.225	MECIcl4plb
2	0	22	8	0	0.000334124	107.85	MECTcl3peb
2	0	21	9	0	0.000601423	198.141	MECTplb
2	0	22	8	0	0.000534599	166.6	MEITplb
2	0	19	10	0	0.000501186	80.6998	MESTcl3plb
2	0	21	9	0	0.000467774	146.299	MRITcl3peb
2	0	19	11	0	0.000534599	167.7	MSCAcl1plb
2	0	23	7	0	0.000534599	168.9	MSCAcl2plb
2	0	26	4	0	0.000434361	139.425	MSCAcl3plb
2	0	24	5	0	0.000634836	199.042	MSCAplb
2	0	19	11	0	0.000300712	96.8247	MSCIcl3plb
2	0	22	8	0	0.000534599	177.126	MSCIplb
2	0	24	6	0	0.000534599	169.199	MSCTcl1plb
2	0	21	8	0	0.000601423	178.424	MSCTcl2plb
2	0	21	9	0	0.000467774	146.3	MSIAcl3plb
2	0	25	5	0	0.000601423	187.5	MSIAcl4plb
2	0	20	8	0	0.000400949	126	MSIIcl1plb
2	0	20	10	0	0.000434361	136	MSIIplb
2	0	18	10	0	0.000300712	85.3998	MSITcl3plb
2	0	24	6	0	0.000534599	167.2	MSITcl4plb
2	0	18	11	0	0.000334124	55.3999	MSSAcl4plb
2	0	23	7	0	0.000467774	144.05	SECAcl3plb
2	0	21	9	0	0.000534599	164.1	SECTcl3peb
2	0	24	5	0	0.000400949	130.295	SECTpeb
2	0	26	3	0	0.000601423	182.6	SEIAcl4peb
2	0	23	6	0	0.000367537	112.3	SEIAplb
2	0	20	10	0	0.000400949	122	SEIIcl1peb
2	0	19	11	0	0.000467774	141.9	SEITcl1plb
2	0	22	8	0	0.000367537	112.2	SEITcl3peb
2	0	21	9	0	0.000568011	172.1	SEITcl4peb
2	0	22	8	0	0.000501186	77.2	SESTcl4plb
2	0	22	8	0	0.000367537	112.2	SRIAcl1peb
2	0	26	4	0	0.000400949	122.6	SRIAcl1plb
2	0	22	8	0	0.000434361	132.2	SRIAcl3plb
2	0	19	11	0	0.000534599	161.9	SRIAcl4peb
2	0	24	6	0	0.000634836	192.4	SRITcl3peb
2	0	18	12	0	0.000367537	111.8	SRITcl3plb
2	0	21	9	0	0.000501186	161.968	SSCTplb
2	0	21	9	0	0.000400949	122.1	SSIAcl4plb
2	0	19	11	0	0.000300712	91.8999	SSIIplb
3	0	23	6	0	0.00103578	538.993	LECAcl4plb
3	0	24	6	0	0.00190451	1050.92	LECIcl3plb
3	0	27	3	0	0.00155368	818.852	LECIcl4plb
3	0	23	6	0	0.00187109	1034.06	LSCAplb
3	0	23	7	0	0.00147015	658.798	LSCIcl1plb
3	0	27	3	0	0.00275652	1312.78	LSCIcl2plb
3	0	27	3	0	0.00200474	959.374	LSCIcl3plb
3	0	25	5	0	0.00237228	1172.34	LSCIplb
3	0	25	5	0	0.00253934	1071.72	LSCTcl3plb
3	0	25	3	0	0.00235557	968.508	LSCTplb
3	0	25	3	0	0.00118614	596.149	MECAcl4plb
3	0	26	2	0	0.00212169	1100.82	MECIcl3plb
3	0	25	4	0	0.00158709	754.313	MECIcl4plb
3	0	24	5	0	0.00172074	749.131	MECTcl3peb
3	0	27	3	0	0.00245581	1241.67	MECTplb
3	0	25	5	0	0.00177086	707.075	MEITplb
3	0	21	8	0	0.0010692	251.247	MESTcl3plb
3	0	26	4	0	0.0024224	833.771	MRITcl3peb
3	0	24	6	0	0.00116943	672.339	MSCAcl1plb
3	0	27	3	0	0.00130308	720.547	MSCAcl2plb
3	0	30	0	0	0.00128638	656.755	MSCAcl3plb
3	0	25	2	0	0.00200474	992.172	MSCAplb
3	0	24	6	0	0.00121955	584.253	MSCIcl3plb
3	0	27	3	0	0.00227204	1121.05	MSCIplb
3	0	26	4	0	0.00233887	1068.59	MSCTcl1plb
3	0	24	5	0	0.00235557	1098.6	MSCTcl2plb
3	0	27	3	0	0.00115273	497.856	MSIAcl3plb
3	0	25	4	0	0.00143673	577.629	MSIAcl4plb
3	0	22	6	0	0.00143673	562.327	MSIIcl1plb
3	0	25	5	0	0.00150356	590.652	MSIIplb
3	0	20	7	0	0.00140332	495.721	MSITcl3plb
3	0	28	2	0	0.00235557	878.285	MSITcl4plb
3	0	25	4	0	0.000902135	188.662	MSSAcl4plb
3	0	24	5	0	0.00120285	638.382	SECAcl3plb
3	0	25	5	0	0.00173745	909.537	SECTcl3peb
3	0	25	3	0	0.00192121	885.894	SECTpeb
