Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	562.2	0	281.1	281.1	100	90	0	0.801986	52	51.6	0	524	1624	1	0.77551	1815
2	16602.7	0	8071.81	8530.85	100	90	0	0.801986	52	51.6	0	524	1624	1	0.775546	1815
3	74588.7	0	39797.1	34791.6	100	90	0	0.801986	52	51.6	0	524	1624	1	0.773819	1815
4	222133	0	117928	104204	100	90	0	0.801986	52	51.6	0	524	1624	1	0.771383	1815
5	484323	0	256326	227997	100	90	0	0.801986	52	51.6	0	524	1624	1.00241	0.776316	1815
6	807882	747	426627	381255	100	90	2.68603	0.801986	52	51.6	0	524	1624	1.00652	0.784615	1815
7	1.09153e+06	1002	580014	511517	100	90	3.36334	0.801986	52	51.6	0	524	1624	1.02061	0.797285	1815
8	1.28947e+06	1027	690748	598723	100	90	3.45088	0.801986	52	51.6	0	524	1624	1.02855	0.803311	1815
9	1.42541e+06	959	768822	656584	100	90	3.29142	0.801986	52	51.6	0	524	1624	1.04113	0.815433	1815
10	1.52746e+06	908	827708	699752	100	90	3.1724	0.801986	52	51.6	0	524	1624	1.05337	0.825991	1815
11	1.58594e+06	857	862350	723589	100	90	3.08478	0.801986	52	51.6	0	524	1624	1.06273	0.833918	1815
12	1.62912e+06	832	888620	740503	100	90	3.05975	0.801986	52	51.6	0	524	1624	1.08231	0.855231	1815
13	1.66206e+06	817	908871	753187	100	90	3.07327	0.801986	52	51.6	0	524	1624	1.09118	0.86783	1815
14	1.67769e+06	796	919022	758673	100	90	3.10277	0.801986	52	51.6	0	524	1624	1.09938	0.881137	1815
15	1.67995e+06	779	923069	756881	100	90	3.10899	0.801986	52	51.6	0	524	1624	1.11835	0.903054	1815
16	1.72258e+06	773	934365	762398	100	90	3.14194	0.801986	52	51.6	0	524	1624	1.13333	0.913747	1815
17	1.75101e+06	769	937452	763630	100	90	3.18438	0.801986	52	51.6	0	524	1624	1.13902	0.912329	1815
18	1.77306e+06	764	947118	771101	100	90	3.26086	0.801986	52	51.6	0	524	1624	1.13487	0.908587	1815
19	1.80113e+06	764	962792	781868	100	90	3.3186	0.801986	52	51.6	0	524	1624	1.13292	0.903226	1815
20	1.82449e+06	767	976727	791451	100	90	3.40022	0.801986	52	51.6	0	524	1624	1.1301	0.894068	1815
21	1.74652e+06	756	965682	780833	100	90	3.43075	0.801986	52	51.6	0	524	1624	1.13289	0.884226	1815
22	1.75714e+06	756	973639	783505	100	90	1.29182	0.801986	52	51.6	0	524	1624	1.04223	0.762435	1815
23	1.78617e+06	749	986433	799740	100	90	1.27159	0.801986	52	51.6	0	524	1624	1.04291	0.763022	1815
24	1.81303e+06	739	999504	813530	100	90	1.28285	0.801986	52	51.6	0	524	1624	1.04908	0.783195	1815
25	1.81461e+06	725	1.00046e+06	814152	100	90	1.37315	0.801986	52	51.6	0	524	1624	1.05885	0.801437	1815
26	1.84381e+06	720	1.01673e+06	827076	100	90	1.52039	0.801986	52	51.6	0	524	1624	1.07136	0.816624	1815
27	1.87904e+06	1350	1.03566e+06	843378	100	90	2.73447	0.801986	52	51.6	0	524	1624	1.09081	0.839166	1815
28	1.9145e+06	1216	1.05511e+06	859390	100	90	2.77384	0.801986	52	51.6	0	524	1624	1.1023	0.849829	1815
29	1.948e+06	1126	1.07305e+06	874955	100	90	2.81574	0.801986	52	51.6	0	524	1624	1.11905	0.861873	1815
30	1.43147e+06	1078	544402	887067	100	90	2.28618	0.801986	52	51.6	0	524	1624	1.45164	1.42814	1815
31	1.49894e+06	956	664017	832752	100	90	1.29596	0.801986	52	51.6	0	524	1624	1.14775	0.883466	1815
32	1.50481e+06	858	712569	788732	100	90	1.07411	0.801986	52	51.6	0	524	1624	1.09692	0.819407	1815
33	1.45426e+06	734	712772	738191	100	90	0.862839	0.801986	52	51.6	0	524	1624	1.07299	0.78309	1815
34	1.40863e+06	646	705776	699906	100	90	0.942659	0.801986	52	51.6	0	524	1624	1.08369	0.792949	1815
35	1.3523e+06	701	688933	660575	100	90	1.20012	0.801986	52	51.6	0	524	1624	1.09606	0.803068	1815
36	1.26647e+06	705	657341	609128	100	90	1.4184	0.801986	52	51.6	0	524	1624	1.10466	0.811024	1815
37	1.28664e+06	871	674655	611987	100	90	2.02826	0.801986	52	51.6	0	524	1624	1.12111	0.831749	1815
38	1.21333e+06	906	641142	572189	100	90	2.59177	0.801986	52	51.6	0	524	1624	1.1493	0.870927	1815
39	1.17036e+06	754	621694	548661	100	90	2.70337	0.801986	52	51.6	0	524	1624	1.16316	0.869894	1815
40	1.11963e+06	649	598472	521158	100	90	2.7316	0.801986	52	51.6	0	524	1624	1.18399	0.902135	1815
41	1.07234e+06	564	576910	495434	100	90	2.82863	0.801986	52	51.6	0	524	1624	1.21365	0.919588	1815
42	760209	520	278847	481363	100	90	2.8355	0.801986	52	51.6	0	524	1624	1.25957	0.946785	1815
43	804498	467	349410	455087	100	90	2.89466	0.801986	52	51.6	0	524	1624	1.2722	0.9625	1815
44	775406	401	375811	399595	100	90	2.92089	0.801986	52	51.6	0	524	1624	1.30233	0.982659	1815
45	757505	357	389767	367738	100	90	2.94607	0.801986	52	51.6	0	524	1624	1.31733	1	1815
46	739654	317	382882	344271	100	90	2.88723	0.801986	52	51.6	0	524	1624	1.36957	1.06343	1815
47	705096	289	364520	319969	100	90	2.90014	0.801986	52	51.6	0	524	1624	1.39437	1.07407	1815
48	689904	269	358308	309828	100	90	2.93315	0.801986	52	51.6	0	524	1624	1.40927	1.06696	1815
49	622550	236	325530	277255	100	90	2.93511	0.801986	52	51.6	0	524	1624	1.4141	1.0404	1815
50	565336	211	298216	250136	100	90	2.96355	0.801986	52	51.6	0	524	1624	1.45408	1.08284	1815
51	517253	199	281733	235520	100	90	3.01804	0.801986	52	51.6	0	524	1624	1.48864	1.09032	1815
52	277276	191	49119.4	228157	100	90	0.115668	0.801986	52	51.6	242794	524	1624	1.00657	0.731124	1815
53	506861	162	192381	314480	100	90	0.0704649	0.801986	52	51.6	242794	524	1624	1.00403	0.730387	1815
54	825702	151	364197	461505	100	90	0.0733995	0.801986	52	51.6	242794	524	1624	1.00449	0.741427	1815
55	836640	127	387558	449082	100	90	0.0739724	0.801986	52	51.6	242794	524	1624	1.00523	0.757259	1815
56	817210	119	398123	419087	100	90	0.0862371	0.801986	52	51.6	242794	524	1624	1.00714	0.760333	1815
57	943162	2478	474444	468719	100	90	1.42689	0.801986	52	51.6	242794	524	1624	1.00889	0.764158	1815
58	1.01872e+06	2149	518090	500632	100	90	1.76086	0.801986	52	51.6	242794	524	1624	1.01265	0.760417	1815
59	1.08207e+06	1746	554650	527425	100	90	1.87088	0.801986	52	51.6	242794	524	1624	1.01767	0.756373	1815
60	784797	1512	274978	509819	100	90	2.03977	0.801986	51	51.6	242794	524	1624	1.14177	0.984646	1815
61	883949	1230	385950	493678	100	90	1.23422	0.801986	52	51.6	0	524	1624	1.0687	0.812298	1815
62	999440	1062	473187	519738	100	90	1.04394	0.801986	52	51.6	0	524	1624	1.0534	0.797024	1815
63	1.09791e+06	923	541982	548460	100	90	1.0287	0.801986	52	51.6	0	524	1624	1.05561	0.783834	1815
64	1.1752e+06	784	592030	576250	100	90	1.07764	0.801986	52	51.6	0	524	1624	1.06376	0.782847	1815
65	1.18344e+06	733	602300	575472	100	90	1.19695	0.801986	52	51.6	0	524	1624	1.06981	0.785747	1815
66	1.1712e+06	1235	605455	565745	100	90	2.10202	0.801986	52	51.6	0	524	1624	1.07439	0.795482	1815
67	1.17579e+06	1230	613749	562042	100	90	2.33368	0.801986	52	51.6	0	524	1624	1.07635	0.79262	1815
68	1.13731e+06	1141	600560	536753	100	90	2.46029	0.801986	52	51.6	0	524	1624	1.07895	0.790803	1815
69	1.06379e+06	896	567216	496572	100	90	2.40616	0.801986	52	51.6	0	524	1624	1.09366	0.805492	1815
70	1.01434e+06	742	545121	469220	100	90	2.4398	0.801986	52	51.6	0	524	1624	1.1064	0.816921	1815
71	954781	639	516602	438179	100	90	2.54229	0.801986	52	51.6	0	524	1624	1.12444	0.837881	1815
72	881816	541	478630	403186	100	90	2.56662	0.801986	52	51.6	0	524	1624	1.11796	0.847909	1815
73	835401	482	454290	381111	100	90	2.67226	0.801986	52	51.6	0	524	1624	1.1246	0.849576	1815
74	774236	432	422105	352131	100	90	2.73204	0.801986	52	51.6	0	524	1624	1.15488	0.878282	1815
75	736568	395	402176	334393	100	90	2.77476	0.801986	52	51.6	0	524	1624	1.17354	0.909574	1815
76	700514	352	378162	311318	100	90	2.7745	0.801986	52	51.6	0	524	1624	1.1775	0.921922	1815
77	612692	297	327304	268241	100	90	2.82176	0.801986	52	51.6	0	524	1624	1.18127	0.917857	1815
78	593349	275	317868	258299	100	90	2.83535	0.801986	52	51.6	0	524	1624	1.19463	0.923077	1815
79	567669	258	304958	245881	100	90	2.89671	0.801986	52	51.6	0	524	1624	1.19926	0.915966	1815
80	543059	242	292564	234886	100	90	2.98757	0.801986	52	51.6	0	524	1624	1.20921	0.923077	1815
81	457703	217	254506	203198	100	90	2.92477	0.801986	52	51.6	0	524	1624	1.23944	0.974359	1815
82	233580	192	43387.9	190192	100	90	0.0940761	0.801986	52	51.6	212978	524	1624	1.00305	0.716723	1815
83	542490	182	217437	325053	100	90	0.06915	0.801986	52	51.6	212978	524	1624	1.00221	0.713562	1815
84	835600	175	374153	461447	100	90	0.0732915	0.801986	52	51.6	212978	524	1624	1.00247	0.726638	1815
85	793980	144	369332	424647	100	90	0.0717783	0.801986	52	51.6	212978	524	1624	1.00251	0.750806	1815
86	823313	138	406417	416896	100	90	0.0878269	0.801986	52	51.6	212978	524	1624	1.0034	0.765347	1815
87	940795	2891	478181	462614	100	90	1.3591	0.801986	52	51.6	212978	524	1624	1.00454	0.759066	1815
88	1.04617e+06	2608	536873	509299	100	90	1.65439	0.801986	52	51.6	212978	524	1624	1.0054	0.76065	1815
89	1.046e+06	1925	541558	504447	100	90	1.67655	0.801986	52	51.6	212978	524	1624	1.00606	0.746171	1815
90	779302	1684	276863	502438	100	90	1.80039	0.801986	52	51.6	212978	524	1624	1.106	0.94325	1815
91	848237	1365	372609	469294	100	90	0.988845	0.801986	52	51.6	0	524	1624	1.04584	0.784679	1815
92	963863	1131	460799	494198	100	90	0.798295	0.801986	52	51.6	0	524	1624	1.03236	0.760749	1815
93	1.11478e+06	975	553232	551684	100	90	0.753653	0.801986	52	51.6	0	524	1624	1.03112	0.758228	1815
94	1.16684e+06	803	588610	568984	100	90	0.781678	0.801986	52	51.6	0	524	1624	1.03296	0.762634	1815
95	1.17118e+06	734	599566	564119	100	90	0.838765	0.801986	52	51.6	0	524	1624	1.03311	0.764666	1815
96	1.16523e+06	1434	609158	556073	100	90	1.64861	0.801986	52	51.6	0	524	1624	1.03584	0.770015	1815
97	1.12921e+06	1375	595543	533668	100	90	1.87868	0.801986	52	51.6	0	524	1624	1.03465	0.765664	1815
98	1.11627e+06	1318	594184	522090	100	90	2.05105	0.801986	52	51.6	0	524	1624	1.03963	0.784389	1815
99	1.07183e+06	1066	575671	496161	100	90	2.1125	0.801986	52	51.6	0	524	1624	1.04548	0.788571	1815
100	1.07853e+06	933	583579	494955	100	90	2.19505	0.801986	52	51.6	0	524	1624	1.05757	0.8	1815
101	1.05153e+06	828	571096	480436	100	90	2.29613	0.801986	52	51.6	0	524	1624	1.06551	0.816276	1815
102	993496	736	540605	452891	100	90	2.34718	0.801986	52	51.6	0	524	1624	1.07303	0.819695	1815
103	910886	631	497250	413636	100	90	2.44288	0.801986	52	51.6	0	524	1624	1.08425	0.828711	1815
104	871539	566	476944	394595	100	90	2.50635	0.801986	52	51.6	0	524	1624	1.09801	0.852459	1815
105	798467	509	437313	361154	100	90	2.55782	0.801986	52	51.6	0	524	1624	1.1124	0.856557	1815
106	731432	456	396721	325640	100	90	2.60922	0.801986	52	51.6	0	524	1624	1.12811	0.865604	1815
107	683529	410	367650	300177	100	90	2.64897	0.801986	52	51.6	0	524	1624	1.1413	0.848485	1815
108	638616	360	342527	280667	100	90	2.68296	0.801986	52	51.6	0	524	1624	1.14031	0.83815	1815
109	602572	330	323998	263635	100	90	2.75288	0.801986	52	51.6	0	524	1624	1.14943	0.852564	1815
110	559877	299	301549	244902	100	90	2.76276	0.801986	52	51.6	0	524	1624	1.1672	0.885305	1815
111	499330	276	275952	223378	100	90	2.79021	0.801986	52	51.6	0	524	1624	1.17143	0.897638	1815
112	251223	233	49231.7	201992	100	90	0.102554	0.801986	52	51.6	227586	524	1624	1.00287	0.706252	1815
113	569703	209	229931	339772	100	90	0.0744219	0.801986	52	51.6	227586	524	1624	1.00216	0.701562	1815
114	838966	191	377753	461212	100	90	0.0739401	0.801986	52	51.6	227586	524	1624	1.00215	0.724725	1815
115	803475	171	378601	424874	100	90	0.077884	0.801986	52	51.6	227586	524	1624	1.00243	0.766325	1815
116	843125	149	421259	421866	100	90	0.086879	0.801986	52	51.6	227586	524	1624	1.00294	0.780936	1815
117	956965	3143	488585	468380	100	90	1.29674	0.801986	52	51.6	227586	524	1624	1.00402	0.780203	1815
118	1.04018e+06	2625	534366	505818	100	90	1.51253	0.801986	52	51.6	227586	524	1624	1.00656	0.783849	1815
119	1.07252e+06	2147	555758	516766	100	90	1.62137	0.801986	52	51.6	227586	524	1624	1.00956	0.779275	1815
120	816550	1840	289203	527347	100	90	1.67091	0.801986	50	51.6	227586	524	1624	1.08765	0.925137	1815
121	905228	1524	396177	501240	100	90	0.971863	0.801986	52	51.6	0	524	1624	1.03829	0.755951	1815
122	1.05126e+06	1327	500910	538996	100	90	0.843657	0.801986	52	51.6	0	524	1624	1.03055	0.73857	1815
123	1.17305e+06	1133	579968	580117	100	90	0.816857	0.801986	52	51.6	0	524	1624	1.03074	0.734806	1815
124	1.19074e+06	922	600113	578764	100	90	0.824956	0.801986	52	51.6	0	524	1624	1.03234	0.741096	1815
125	1.2044e+06	869	617685	575928	100	90	0.91346	0.801986	52	51.6	0	524	1624	1.03353	0.754995	1815
126	1.21538e+06	1577	636508	578877	100	90	1.64582	0.801986	52	51.6	0	524	1624	1.03736	0.753289	1815
127	1.18425e+06	1468	624747	559507	100	90	1.82055	0.801986	52	51.6	0	524	1624	1.03932	0.748936	1815
128	1.15374e+06	1385	613447	540291	100	90	1.99071	0.801986	52	51.6	0	524	1624	1.03668	0.745575	1815
129	1.09384e+06	1113	585243	508601	100	90	2.05183	0.801986	52	51.6	0	524	1624	1.04451	0.742883	1815
130	1.06109e+06	945	571324	489771	100	90	2.12885	0.801986	52	51.6	0	524	1624	1.05423	0.737013	1815
131	1.00742e+06	828	545425	461993	100	90	2.19087	0.801986	52	51.6	0	524	1624	1.06747	0.736777	1815
132	945583	722	513421	432163	100	90	2.28609	0.801986	52	51.6	0	524	1624	1.07271	0.734088	1815
133	875066	623	476155	398911	100	90	2.38336	0.801986	52	51.6	0	524	1624	1.08432	0.737274	1815
134	809297	556	442092	367205	100	90	2.40932	0.801986	52	51.6	0	524	1624	1.0948	0.757856	1815
135	756229	495	413565	342663	100	90	2.46247	0.801986	52	51.6	0	524	1624	1.10265	0.769231	1815
136	687108	435	371707	306647	100	90	2.46551	0.801986	52	51.6	0	524	1624	1.1219	0.768496	1815
137	624261	365	334220	275334	100	90	2.46731	0.801986	52	51.6	0	524	1624	1.1299	0.775568	1815
138	559719	323	300298	245912	100	90	2.48548	0.801986	52	51.6	0	524	1624	1.12921	0.764516	1815
139	525022	296	282471	230036	100	90	2.51709	0.801986	52	51.6	0	524	1624	1.14331	0.770609	1815
140	501698	273	269184	220463	100	90	2.53963	0.801986	52	51.6	0	524	1624	1.15439	0.764706	1815
141	435435	236	239906	195529	100	90	2.53287	0.801986	52	51.6	0	524	1624	1.17143	0.793578	1815
142	230639	219	41594.7	189045	100	90	0.0846992	0.801986	52	51.6	204080	524	1624	1.00239	0.64543	1815
143	594182	208	241072	353110	100	90	0.0682838	0.801986	52	51.6	204080	524	1624	1.00205	0.642667	1815
144	810913	192	364897	446017	100	90	0.0686883	0.801986	52	51.6	204080	524	1624	1.0021	0.67037	1815
145	768666	176	364258	404409	100	90	0.0729257	0.801986	52	51.6	204080	524	1624	1.00251	0.72235	1815
146	859724	173	430255	429470	100	90	0.094546	0.801986	52	51.6	204080	524	1624	1.00345	0.734188	1815
147	994297	3267	506836	487461	100	90	1.29501	0.801986	52	51.6	204080	524	1624	1.00478	0.742751	1815
148	1.02124e+06	2619	523763	497474	100	90	1.47442	0.801986	52	51.6	204080	524	1624	1.00709	0.756034	1815
149	1.04727e+06	2129	543143	504132	100	90	1.5531	0.801986	52	51.6	204080	524	1624	1.00763	0.760179	1815
150	770399	1865	273842	496557	100	90	1.62418	0.801986	47	51.6	204080	524	1624	1.08841	0.912527	1815
151	880237	1527	387117	484978	100	90	0.852776	0.801986	52	51.6	0	524	1624	1.03676	0.695905	1815
152	1.01144e+06	1259	482082	517580	100	90	0.692851	0.801986	52	51.6	0	524	1624	1.02616	0.674622	1815
153	1.13884e+06	1070	561255	564592	100	90	0.660223	0.801986	52	51.6	0	524	1624	1.0247	0.676983	1815
154	1.15622e+06	855	578666	565884	100	90	0.662777	0.801986	52	51.6	0	524	1624	1.02601	0.703188	1815
155	1.13675e+06	772	579242	547724	100	90	0.712484	0.801986	52	51.6	0	524	1624	1.02874	0.726477	1815
156	1.14118e+06	1653	594787	546390	100	90	1.47928	0.801986	52	51.6	0	524	1624	1.02898	0.728682	1815
157	1.13607e+06	1552	598407	537663	100	90	1.64871	0.801986	52	51.6	0	524	1624	1.03368	0.734091	1815
158	1.09425e+06	1444	581081	513173	100	90	1.8235	0.801986	52	51.6	0	524	1624	1.03413	0.721555	1815
159	1.09638e+06	1250	585792	510588	100	90	1.9534	0.801986	52	51.6	0	524	1624	1.04335	0.718826	1815
160	1.03478e+06	1045	555864	478915	100	90	1.99895	0.801986	52	51.6	0	524	1624	1.04645	0.72444	1815
161	987752	899	531961	455791	100	90	2.04659	0.801986	52	51.6	0	524	1624	1.0545	0.720406	1815
162	882361	736	476175	406186	100	90	2.16504	0.801986	52	51.6	0	524	1624	1.05734	0.729282	1815
163	815625	632	441274	374352	100	90	2.20737	0.801986	52	51.6	0	524	1624	1.07598	0.739903	1815
164	768930	564	417215	351715	100	90	2.23416	0.801986	52	51.6	0	524	1624	1.07595	0.731397	1815
165	724030	513	394668	329362	100	90	2.29036	0.801986	52	51.6	0	524	1624	1.0832	0.73506	1815
166	699509	474	377412	313883	100	90	2.35458	0.801986	52	51.6	0	524	1624	1.11132	0.772926	1815
167	614021	413	329477	271982	100	90	2.30194	0.801986	52	51.6	0	524	1624	1.12364	0.775	1815
168	580579	374	311126	257118	100	90	2.35477	0.801986	52	51.6	0	524	1624	1.14179	0.768156	1815
169	527804	331	283265	233249	100	90	2.3661	0.801986	52	51.6	0	524	1624	1.16954	0.798722	1815
170	481154	293	258838	212228	100	90	2.36548	0.801986	52	51.6	0	524	1624	1.1672	0.77305	1815
171	434749	269	238853	195895	100	90	2.41094	0.801986	52	51.6	0	524	1624	1.17518	0.777778	1815
172	236647	257	44865.3	191782	100	90	0.0962003	0.801986	52	51.6	202338	524	1624	1.00254	0.649072	1815
173	584455	224	241528	342927	100	90	0.0712603	0.801986	52	51.6	202338	524	1624	1.00188	0.644475	1815
174	837170	205	379171	457999	100	90	0.0708381	0.801986	52	51.6	202338	524	1624	1.00205	0.6653	1815
175	798407	197	376383	422025	100	90	0.0792945	0.801986	52	51.6	202338	524	1624	1.00248	0.705322	1815
176	870405	181	432580	437826	100	90	0.0928106	0.801986	52	51.6	202338	524	1624	1.00302	0.711757	1815
177	991247	3257	502587	488660	100	90	1.22956	0.801986	52	51.6	202338	524	1624	1.00421	0.708366	1815
178	1.04263e+06	2729	533848	508779	100	90	1.4553	0.801986	52	51.6	202338	524	1624	1.00618	0.720455	1815
179	1.06089e+06	2187	549067	511821	100	90	1.51604	0.801986	52	51.6	202338	524	1624	1.00798	0.725872	1815
180	797423	1909	282968	514455	100	90	1.6107	0.801986	47	51.6	202338	524	1624	1.08596	0.867089	1815
181	884079	1556	388296	487213	100	90	0.896233	0.801986	52	51.6	0	524	1624	1.03611	0.721607	1815
182	1.01792e+06	1324	485816	520168	100	90	0.743774	0.801986	52	51.6	0	524	1624	1.02685	0.703155	1815
183	1.15681e+06	1135	572115	570996	100	90	0.709973	0.801986	52	51.6	0	524	1624	1.02553	0.705743	1815
184	1.20393e+06	946	604806	586642	100	90	0.739783	0.801986	52	51.6	0	524	1624	1.02811	0.724546	1815
185	1.18645e+06	880	605188	570544	100	90	0.8216	0.801986	52	51.6	0	524	1624	1.03188	0.743706	1815
186	1.18585e+06	1660	618304	567549	100	90	1.49298	0.801986	52	51.6	0	524	1624	1.03403	0.74747	1815
187	1.20408e+06	1588	634288	569792	100	90	1.63571	0.801986	52	51.6	0	524	1624	1.03701	0.739606	1815
188	1.16135e+06	1493	616528	544825	100	90	1.81262	0.801986	52	51.6	0	524	1624	1.0429	0.740893	1815
189	1.10905e+06	1212	593081	515968	100	90	1.87422	0.801986	52	51.6	0	524	1624	1.04538	0.729501	1815
190	1.04523e+06	1013	562127	483103	100	90	1.92433	0.801986	52	51.6	0	524	1624	1.04941	0.728659	1815
191	1.02439e+06	911	553520	470873	100	90	2.04451	0.801986	52	51.6	0	524	1624	1.05696	0.748584	1815
192	940365	795	509714	430651	100	90	2.09725	0.801986	52	51.6	0	524	1624	1.06043	0.749025	1815
193	845630	676	460059	385571	100	90	2.20253	0.801986	52	51.6	0	524	1624	1.07711	0.761905	1815
194	809096	620	441575	367522	100	90	2.27619	0.801986	52	51.6	0	524	1624	1.0831	0.766667	1815
195	729017	535	399328	329689	100	90	2.30621	0.801986	52	51.6	0	524	1624	1.08511	0.767754	1815
196	713762	505	387286	318792	100	90	2.39388	0.801986	52	51.6	0	524	1624	1.08379	0.752556	1815
197	675604	457	363042	299269	100	90	2.43756	0.801986	52	51.6	0	524	1624	1.09671	0.779545	1815
198	598226	401	321568	264349	100	90	2.44885	0.801986	52	51.6	0	524	1624	1.10312	0.778646	1815
199	563730	364	303656	248411	100	90	2.43366	0.801986	52	51.6	0	524	1624	1.11316	0.784483	1815
200	541060	339	291863	238240	100	90	2.46921	0.801986	52	51.6	0	524	1624	1.09798	0.791925	1815
201	507952	320	279194	228758	100	90	2.45874	0.801986	52	51.6	0	524	1624	1.08537	0.788779	1815
202	269742	301	49776.9	219965	100	90	0.111964	0.801986	52	51.6	232678	524	1624	1.0016	0.641589	1815
203	617670	270	248812	368858	100	90	0.0836743	0.801986	52	51.6	232678	524	1624	1.00118	0.638464	1815
204	844533	252	378452	466081	100	90	0.0860692	0.801986	52	51.6	232678	524	1624	1.0014	0.66744	1815
205	800479	221	376947	423531	100	90	0.0884139	0.801986	52	51.6	232678	524	1624	1.00166	0.713054	1815
206	872110	201	435040	437070	100	90	0.106071	0.801986	52	51.6	232678	524	1624	1.00218	0.729693	1815
207	992535	3152	505519	487016	100	90	1.2204	0.801986	52	51.6	232678	524	1624	1.00321	0.735224	1815
208	1.04286e+06	2688	536632	506231	100	90	1.4244	0.801986	52	51.6	232678	524	1624	1.00421	0.744986	1815
209	1.0648e+06	2185	554351	510447	100	90	1.46691	0.801986	52	51.6	232678	524	1624	1.00473	0.745511	1815
210	771187	1956	275304	495883	100	90	1.54085	0.801986	50	51.6	232678	524	1624	1.0777	0.88341	1815
211	869872	1607	382803	478172	100	90	0.835603	0.801986	52	51.6	0	524	1624	1.03196	0.710506	1815
212	998761	1340	475607	510214	100	90	0.678453	0.801986	52	51.6	0	524	1624	1.02312	0.694882	1815
213	1.13198e+06	1147	558620	558959	100	90	0.653821	0.801986	52	51.6	0	524	1624	1.02169	0.691761	1815
214	1.17217e+06	952	587780	571412	100	90	0.67667	0.801986	52	51.6	0	524	1624	1.02441	0.716639	1815
215	1.11845e+06	812	571171	536796	100	90	0.675989	0.801986	52	51.6	0	524	1624	1.02516	0.73773	1815
216	1.11922e+06	1749	585469	533754	100	90	1.41254	0.801986	52	51.6	0	524	1624	1.02517	0.750732	1815
217	1.136e+06	1645	599767	536233	100	90	1.62228	0.801986	52	51.6	0	524	1624	1.02941	0.753351	1815
218	1.10609e+06	1480	587880	518214	100	90	1.78182	0.801986	52	51.6	0	524	1624	1.03204	0.752414	1815
219	1.06385e+06	1226	569954	493899	100	90	1.87184	0.801986	52	51.6	0	524	1624	1.03562	0.74771	1815
220	1.01603e+06	1033	547841	468194	100	90	1.93631	0.801986	52	51.6	0	524	1624	1.04013	0.75	1815
