Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	561	0	280.5	280.5	100	90	0	0.803307	52	51.3	0	536	1557	1	0.781501	1715
2	15902.3	0	7728.48	8173.78	100	90	0	0.803307	52	51.3	0	536	1557	1	0.768336	1715
3	72698.2	0	38756.5	33941.7	100	90	0	0.803307	52	51.3	0	536	1557	1	0.766719	1715
4	218378	0	115774	102604	100	90	0	0.803307	52	51.3	0	536	1557	1	0.768244	1715
5	477151	0	251426	225724	100	90	0	0.803307	52	51.3	0	536	1557	1	0.769359	1715
6	797410	710	420249	377162	100	90	2.60762	0.803307	52	51.3	0	536	1557	1.00578	0.773552	1715
7	1.08236e+06	962	573210	509145	100	90	3.31296	0.803307	52	51.3	0	536	1557	1.0151	0.77634	1715
8	1.30177e+06	1010	694961	606812	100	90	3.43308	0.803307	52	51.3	0	536	1557	1.03149	0.793069	1715
9	1.44513e+06	934	776734	668392	100	90	3.23302	0.803307	52	51.3	0	536	1557	1.04581	0.812634	1715
10	1.55928e+06	894	842675	716607	100	90	3.14195	0.803307	52	51.3	0	536	1557	1.06095	0.829978	1715
11	1.63436e+06	851	885118	749237	100	90	3.07914	0.803307	52	51.3	0	536	1557	1.07849	0.855962	1715
12	1.67982e+06	815	912776	767047	100	90	3.03159	0.803307	52	51.3	0	536	1557	1.09249	0.869565	1715
13	1.71495e+06	796	934610	780341	100	90	3.03958	0.803307	52	51.3	0	536	1557	1.11472	0.888031	1715
14	1.7439e+06	782	952715	791185	100	90	3.04407	0.803307	52	51.3	0	536	1557	1.12236	0.903183	1715
15	1.76821e+06	778	968073	800140	100	90	3.04813	0.803307	52	51.3	0	536	1557	1.1373	0.913863	1715
16	1.80714e+06	775	976977	804318	100	90	3.10239	0.803307	52	51.3	0	536	1557	1.14723	0.928865	1715
17	1.83403e+06	769	979992	804162	100	90	3.16244	0.803307	52	51.3	0	536	1557	1.16091	0.930748	1715
18	1.85845e+06	768	990494	812763	100	90	3.24084	0.803307	52	51.3	0	536	1557	1.15802	0.926864	1715
19	1.86884e+06	764	996752	816071	100	90	3.31326	0.803307	52	51.3	0	536	1557	1.15434	0.915473	1715
20	1.89361e+06	767	1.01175e+06	825998	100	90	3.39176	0.803307	52	51.3	0	536	1557	1.15658	0.903458	1715
21	1.82808e+06	758	1.00747e+06	820615	100	90	3.38322	0.803307	52	51.3	0	536	1557	1.15888	0.90413	1715
22	1.83744e+06	762	1.01382e+06	823617	100	90	1.39833	0.803307	52	51.3	0	536	1557	1.05427	0.761182	1715
23	1.85232e+06	756	1.01898e+06	833346	100	90	1.36123	0.803307	52	51.3	0	536	1557	1.05845	0.759832	1715
24	1.86508e+06	741	1.02373e+06	841356	100	90	1.35169	0.803307	52	51.3	0	536	1557	1.06075	0.774276	1715
25	1.87668e+06	732	1.02971e+06	846967	100	90	1.42978	0.803307	52	51.3	0	536	1557	1.06727	0.786638	1715
26	1.89204e+06	729	1.03878e+06	853267	100	90	1.56986	0.803307	52	51.3	0	536	1557	1.08148	0.814141	1715
27	1.9121e+06	1261	1.04978e+06	862324	100	90	2.65285	0.803307	52	51.3	0	536	1557	1.10066	0.85658	1715
28	1.94976e+06	1194	1.06962e+06	880144	100	90	2.81901	0.803307	52	51.3	0	536	1557	1.12387	0.884987	1715
29	1.97115e+06	1116	1.08137e+06	889787	100	90	2.87868	0.803307	52	51.3	0	536	1557	1.13821	0.88835	1715
30	1.4523e+06	1059	548638	903657	100	90	2.30846	0.803307	52	51.3	0	536	1557	1.48331	1.48377	1715
31	1.52674e+06	929	671261	853202	100	90	1.34934	0.803307	52	51.3	0	536	1557	1.16695	0.899927	1715
32	1.52096e+06	814	715641	801427	100	90	1.10133	0.803307	52	51.3	0	536	1557	1.10933	0.82526	1715
33	1.49695e+06	716	730650	762342	100	90	0.896659	0.803307	52	51.3	0	536	1557	1.07965	0.793984	1715
34	1.44409e+06	627	718218	722112	100	90	0.988618	0.803307	52	51.3	0	536	1557	1.09204	0.800896	1715
35	1.3945e+06	702	703900	687125	100	90	1.24976	0.803307	52	51.3	0	536	1557	1.10274	0.822255	1715
