HCx,EP,HT,PCommunity,RUN
0.05,Biomass,R,Arrhenatheretalia.txt,1
0.95,Biomass,R,Arrhenatheretalia.txt,2
0.95,Biomass,Fixed,Arrhenatheretalia.txt,3
0.05,Biomass,Fixed,Arrhenatheretalia.txt,4
1,Biomass,R,Arrhenatheretalia.txt,5
1,Biomass,CompletelyR,Arrhenatheretalia.txt,6
0.95,Mortality,R,Arrhenatheretalia.txt,7
0.95,Mortality,Fixed,Arrhenatheretalia.txt,8
0.05,Mortality,Fixed,Arrhenatheretalia.txt,9
1,Mortality,R,Arrhenatheretalia.txt,10
1,Mortality,CompletelyR,Arrhenatheretalia.txt,11
0.95,Establishment,R,Arrhenatheretalia.txt,12
0.95,Establishment,Fixed,Arrhenatheretalia.txt,13
0.05,Establishment,Fixed,Arrhenatheretalia.txt,14
1,Establishment,R,Arrhenatheretalia.txt,15
1,Establishment,CompletelyR,Arrhenatheretalia.txt,16
0.95,SeedlingBiomass,Fixed,Arrhenatheretalia.txt,17
0.05,SeedlingBiomass,Fixed,Arrhenatheretalia.txt,18
0.95,SeedSterility,Fixed,Arrhenatheretalia.txt,19
0.05,SeedSterility,Fixed,Arrhenatheretalia.txt,20
0.95,SeedNumber,Fixed,Arrhenatheretalia.txt,21
0.05,SeedNumber,Fixed,Arrhenatheretalia.txt,22
