Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	374	0	187	187	100	90	0	0.804504	40	39.1	0	183	1977	1	0.803163	1710
2	11931.4	0	5819.75	6111.65	100	90	0	0.804504	40	39.1	0	183	1977	1	0.814059	1710
3	58878.1	0	30853.2	28024.9	100	90	0	0.804504	40	39.1	0	183	1977	1	0.805195	1710
4	183183	0	95414.1	87768.8	100	90	0	0.804504	40	39.1	0	183	1977	1	0.802658	1710
5	414314	0	215128	199186	100	90	0	0.804504	40	39.1	0	183	1977	1.00205	0.802508	1710
6	710006	540	369684	340322	100	90	2.34481	0.804504	40	39.1	0	183	1977	1.0176	0.818478	1710
7	971009	777	508712	462297	100	90	3.08105	0.804504	40	39.1	0	183	1977	1.0356	0.83871	1710
8	1.16418e+006	821	615001	549180	100	90	3.15995	0.804504	40	39.1	0	183	1977	1.06224	0.872263	1710
9	1.30234e+006	787	691881	610463	100	90	3.04616	0.804504	40	39.1	0	183	1977	1.09169	0.90736	1710
10	1.39822e+006	756	745767	652449	100	90	2.97507	0.804504	40	39.1	0	183	1977	1.10901	0.931217	1710
11	1.46565e+006	740	783762	681884	100	90	2.92904	0.804504	40	39.1	0	183	1977	1.13242	0.957476	1710
12	1.52838e+006	730	818414	709967	100	90	2.90863	0.804504	40	39.1	0	183	1977	1.15521	0.991585	1710
13	1.57038e+006	729	842335	728043	100	90	2.91927	0.804504	40	39.1	0	183	1977	1.17034	1.01284	1710
14	1.6033e+006	731	861888	741416	100	90	2.8971	0.804504	40	39.1	0	183	1977	1.20403	1.05386	1710
15	1.62522e+006	728	874742	750475	100	90	2.87908	0.804504	40	39.1	0	183	1977	1.23277	1.08806	1710
16	1.65766e+006	724	877796	752260	100	90	2.88817	0.804504	40	39.1	0	183	1977	1.25707	1.09574	1710
17	1.69844e+006	733	887356	759905	100	90	2.91375	0.804504	40	39.1	0	183	1977	1.26584	1.11231	1710
18	1.72305e+006	741	897998	769501	100	90	2.97585	0.804504	40	39.1	0	183	1977	1.25666	1.09487	1710
19	1.75353e+006	759	914505	782209	100	90	3.06457	0.804504	40	39.1	0	183	1977	1.2582	1.08906	1710
20	1.76621e+006	765	921901	788145	100	90	3.12885	0.804504	40	39.1	0	183	1977	1.25473	1.07899	1710
21	1.72747e+006	764	932208	795259	100	90	3.17097	0.804504	40	39.1	0	183	1977	1.26036	1.06847	1710
22	1.73881e+006	771	939432	799376	100	90	1.19782	0.804504	40	39.1	0	183	1977	1.06963	0.852117	1710
23	1.76311e+006	761	950012	813096	100	90	1.18352	0.804504	40	39.1	0	183	1977	1.07283	0.863061	1710
24	1.80161e+006	756	969212	832400	100	90	1.1992	0.804504	40	39.1	0	183	1977	1.0789	0.889143	1710
25	1.80142e+006	739	970262	831163	100	90	1.24126	0.804504	40	39.1	0	183	1977	1.08658	0.929342	1710
26	1.81102e+006	733	977151	833866	100	90	1.34226	0.804504	40	39.1	0	183	1977	1.09831	0.953704	1710
27	1.83148e+006	1423	988430	843054	100	90	2.49968	0.804504	40	39.1	0	183	1977	1.11483	0.975281	1710
28	1.86226e+006	1288	1.00541e+006	856851	100	90	2.60238	0.804504	40	39.1	0	183	1977	1.14892	1.01544	1710
29	1.88682e+006	1184	1.01831e+006	868509	100	90	2.61656	0.804504	40	39.1	0	183	1977	1.17675	1.05217	1710
30	1.41398e+006	1141	522870	891112	100	90	2.16148	0.804504	40	39.1	0	183	1977	1.52882	1.69421	1710
31	1.14766e+006	1020	315360	832128	100	90	1.25846	0.804504	40	39.1	0	183	1977	1.17434	1.00164	1710
32	1.23958e+006	920	442757	796276	100	90	0.64417	0.804504	40	39.1	0	183	1977	1.06432	0.860397	1710
33	1.27415e+006	786	524116	749289	100	90	0.574324	0.804504	40	39.1	0	183	1977	1.05889	0.85268	1710
34	1.00564e+006	699	283538	721721	100	90	0.717441	0.804504	40	39.1	0	183	1977	1.08114	0.890488	1710
35	1.07487e+006	817	390906	683634	100	90	0.986646	0.804504	40	39.1	0	183	1977	1.09734	0.924561	1710
36	1.11167e+006	983	473222	638446	100	90	1.42218	0.804504	40	39.1	0	183	1977	1.11258	0.948357	1710
37	857862	1282	252231	605632	100	90	2.14048	0.804504	40	39.1	0	183	1977	1.13096	0.962482	1710
38	910142	1232	345603	564538	100	90	2.53411	0.804504	40	39.1	0	183	1977	1.14559	0.957466	1710
39	1.012e+006	1066	446690	565310	100	90	2.64942	0.804504	40	39.1	0	183	1977	1.17562	0.978858	1710
40	717458	868	192301	525157	100	90	2.71605	0.804504	40	39.1	318449	183	1977	1.19683	0.997389	1710
41	752070	735	266774	485296	100	90	2.80579	0.804504	40	39.1	318449	183	1977	1.223	0.995356	1710
42	777272	631	328493	448779	100	90	2.82715	0.804504	40	39.1	318449	183	1977	1.2486	1.0054	1710
43	771359	541	358418	412940	100	90	2.83255	0.804504	40	39.1	318449	183	1977	1.28571	1.0552	1710
44	762278	487	374241	388037	100	90	2.86939	0.804504	40	39.1	318449	183	1977	1.32549	1.09832	1710
45	752434	442	381165	371269	100	90	2.77291	0.804504	40	39.1	318449	183	1977	1.36518	1.13528	1710
46	474513	414	112847	361304	100	90	2.73893	0.804504	40	39.1	615909	183	1977	1.39041	1.15625	1710
47	396317	353	77714.9	317488	100	90	2.7478	0.804504	40	39.1	615909	183	1977	1.39782	1.13245	1710
48	449480	337	137725	304915	100	90	2.80579	0.804504	40	39.1	615909	183	1977	1.40708	1.12632	1710
49	383214	313	98086	283040	100	90	2.87289	0.804504	40	39.1	615909	183	1977	1.42	1.11877	1710
50	425800	306	154738	269142	100	90	2.98579	0.804504	40	39.1	615909	183	1977	1.42125	1.12048	1710
51	465615	291	205371	260243	100	90	3.01244	0.804504	40	39.1	615909	183	1977	1.44444	1.13983	1710
52	318364	267	72379.3	245984	100	90	0.40473	0.804504	40	39.1	787409	183	1977	1.0273	0.895765	1710
53	395213	241	140852	254361	100	90	0.267671	0.804504	40	39.1	787409	183	1977	1.01863	0.892365	1710
54	571022	207	255102	315919	100	90	0.236059	0.804504	40	39.1	787409	183	1977	1.01671	0.892274	1710
55	819195	188	391403	427792	100	90	0.235055	0.804504	40	39.1	787409	183	1977	1.01672	0.897612	1710
56	1.02288e+006	178	499543	523334	100	90	0.265682	0.804504	40	39.1	787409	183	1977	1.0205	0.899474	1710
57	1.11077e+006	1859	550841	559933	100	90	1.93156	0.804504	40	39.1	787409	183	1977	1.02606	0.901286	1710
58	1.12227e+006	1777	565945	556325	100	90	2.12123	0.804504	40	39.1	787409	183	1977	1.02934	0.897411	1710
59	1.12222e+006	1473	574169	548054	100	90	2.08223	0.804504	40	39.1	787409	183	1977	1.03559	0.904526	1710
60	849709	1396	297132	552578	100	90	1.84881	0.804504	40	39.1	787409	183	1977	1.30732	1.37408	1710
61	916301	1194	401027	513680	100	90	1.71818	0.804504	40	39.1	0	183	1977	1.25888	1.18972	1710
62	934836	1009	444637	487489	100	90	1.64146	0.804504	40	39.1	0	183	1977	1.23503	1.11512	1710
63	935040	864	462691	469735	100	90	1.6138	0.804504	40	39.1	0	183	1977	1.20567	1.05893	1710
64	947836	737	478628	466865	100	90	1.62688	0.804504	40	39.1	0	183	1977	1.20411	1.03556	1710
65	990720	832	506138	482450	100	90	1.95357	0.804504	40	39.1	0	183	1977	1.21656	1.04665	1710
66	1.02299e+006	931	528463	494528	100	90	2.32691	0.804504	40	39.1	0	183	1977	1.23058	1.05859	1710
67	1.03922e+006	955	540598	498626	100	90	2.55558	0.804504	40	39.1	0	183	1977	1.23406	1.07222	1710
68	1.02224e+006	890	535361	486877	100	90	2.62186	0.804504	40	39.1	0	183	1977	1.24592	1.09149	1710
69	943522	747	498381	445141	100	90	2.58609	0.804504	40	39.1	0	183	1977	1.26853	1.08421	1710
70	643985	671	217967	426017	100	90	2.60637	0.804504	40	39.1	291256	183	1977	1.28472	1.11745	1710
71	669490	606	275442	394048	100	90	2.65979	0.804504	40	39.1	291256	183	1977	1.30032	1.1367	1710
72	658220	530	307211	351010	100	90	2.71199	0.804504	40	39.1	291256	183	1977	1.30755	1.14744	1710
73	666519	496	333115	333404	100	90	2.73605	0.804504	40	39.1	291256	183	1977	1.32432	1.18287	1710
74	635842	440	325880	309962	100	90	2.71184	0.804504	40	39.1	291256	183	1977	1.38107	1.2199	1710
75	588762	387	306389	282372	100	90	2.69242	0.804504	40	39.1	291256	183	1977	1.41408	1.25305	1710
76	367573	334	111538	255527	100	90	2.67734	0.804504	40	39.1	492470	183	1977	1.44737	1.28214	1710
77	376395	295	145240	225741	100	90	2.64757	0.804504	40	39.1	492470	183	1977	1.48092	1.34156	1710
78	399776	278	176744	215038	100	90	2.6929	0.804504	40	39.1	492470	183	1977	1.49372	1.34081	1710
79	377976	236	179084	189732	100	90	2.64731	0.804504	40	39.1	492470	183	1977	1.55779	1.36022	1710
80	384634	231	189781	186548	100	90	2.68906	0.804504	40	39.1	492470	183	1977	1.57527	1.4023	1710
81	365044	221	189306	175738	100	90	2.71663	0.804504	40	39.1	492470	183	1977	1.60345	1.38182	1710
82	241888	213	72742.9	169145	100	90	0.109047	0.804504	40	39.1	617373	183	1977	1.00731	0.892015	1710
83	498877	193	218258	280620	100	90	0.0818023	0.804504	40	39.1	617373	183	1977	1.00574	0.891026	1710
84	826626	175	385306	441319	100	90	0.0819713	0.804504	40	39.1	617373	183	1977	1.00583	0.895937	1710
85	908820	157	432361	476459	100	90	0.0828154	0.804504	40	39.1	617373	183	1977	1.00581	0.920267	1710
86	874390	138	427271	447119	100	90	0.087143	0.804504	40	39.1	617373	183	1977	1.00651	0.935819	1710
87	944970	3038	470765	474205	100	90	1.38619	0.804504	40	39.1	617373	183	1977	1.00859	0.929473	1710
88	1.0382e+006	2579	523028	515168	100	90	1.5537	0.804504	40	39.1	617373	183	1977	1.01114	0.926517	1710
89	1.06437e+006	2032	539652	524721	100	90	1.6974	0.804504	40	39.1	617373	183	1977	1.01637	0.930465	1710
