Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	558.2	0	279.1	279.1	100	90	0	0.781502	52	51.3	0	575	1762	1	0.774069	2031
2	16587.2	0	8061.16	8526.07	100	90	0	0.781502	52	51.3	0	575	1762	1	0.773322	2031
3	75831.8	0	40425.5	35406.3	100	90	0	0.781502	52	51.3	0	575	1762	1	0.777863	2031
4	225672	0	119877	105795	100	90	0	0.781502	52	51.3	0	575	1762	1	0.778306	2031
5	487420	0	258318	229102	100	90	0	0.781502	52	51.3	0	575	1762	1.0008	0.777232	2031
6	809365	740	428284	381081	100	90	2.65421	0.781502	52	51.3	0	575	1762	1.00485	0.780717	2031
7	1.09485e+006	997	582765	512080	100	90	3.34645	0.781502	52	51.3	0	575	1762	1.01474	0.792384	2031
8	1.30628e+006	1039	700273	606007	100	90	3.45844	0.781502	52	51.3	0	575	1762	1.02316	0.795958	2031
9	1.45262e+006	975	783060	669562	100	90	3.3058	0.781502	52	51.3	0	575	1762	1.03976	0.815385	2031
10	1.53902e+006	917	833500	705519	100	90	3.15875	0.781502	52	51.3	0	575	1762	1.06272	0.846572	2031
11	1.61252e+006	874	876354	736169	100	90	3.07719	0.781502	52	51.3	0	575	1762	1.07734	0.865297	2031
12	1.67506e+006	857	912834	762224	100	90	3.07687	0.781502	52	51.3	0	575	1762	1.09015	0.880141	2031
13	1.70343e+006	825	929776	773652	100	90	3.04159	0.781502	52	51.3	0	575	1762	1.107	0.891065	2031
14	1.72952e+006	806	945884	783639	100	90	3.04177	0.781502	52	51.3	0	575	1762	1.12118	0.914867	2031
15	1.75341e+006	802	960948	792461	100	90	3.0702	0.781502	52	51.3	0	575	1762	1.13333	0.939791	2031
16	1.78316e+006	794	965435	792304	100	90	3.08974	0.781502	52	51.3	0	575	1762	1.15061	0.95302	2031
17	1.82175e+006	792	974865	797606	100	90	3.10825	0.781502	52	51.3	0	575	1762	1.16705	0.972863	2031
18	1.86152e+006	793	993225	813532	100	90	3.19213	0.781502	52	51.3	0	575	1762	1.17381	0.972565	2031
19	1.872e+006	782	998963	816963	100	90	3.22931	0.781502	52	51.3	0	575	1762	1.16728	0.952381	2031
20	1.86511e+006	776	997414	812860	100	90	3.26899	0.781502	52	51.3	0	575	1762	1.17358	0.942857	2031
21	1.827e+006	779	1.00796e+006	819034	100	90	3.34456	0.781502	52	51.3	0	575	1762	1.17487	0.94356	2031
22	1.83425e+006	776	1.01292e+006	821332	100	90	1.46217	0.781502	52	51.3	0	575	1762	1.06225	0.788721	2031
23	1.8571e+006	775	1.02219e+006	834903	100	90	1.43804	0.781502	52	51.3	0	575	1762	1.06409	0.795253	2031
24	1.86766e+006	762	1.02643e+006	841233	100	90	1.44098	0.781502	52	51.3	0	575	1762	1.0651	0.79579	2031
25	1.87301e+006	751	1.02937e+006	843636	100	90	1.52334	0.781502	52	51.3	0	575	1762	1.07516	0.826063	2031
26	1.88982e+006	742	1.04018e+006	849637	100	90	1.64918	0.781502	52	51.3	0	575	1762	1.09278	0.868003	2031
27	1.90436e+006	1264	1.04838e+006	855986	100	90	2.72955	0.781502	52	51.3	0	575	1762	1.10345	0.894302	2031
28	1.93097e+006	1178	1.06328e+006	867687	100	90	2.81978	0.781502	52	51.3	0	575	1762	1.12311	0.92596	2031
29	1.96463e+006	1109	1.08227e+006	882356	100	90	2.92078	0.781502	52	51.3	0	575	1762	1.14286	0.945165	2031
30	1.42879e+006	1044	543207	885583	100	90	2.28088	0.781502	52	51.3	0	575	1762	1.50731	1.56438	2031
31	1.43749e+006	919	637968	797289	100	90	1.26916	0.781502	52	51.3	0	575	1762	1.16306	0.925363	2031
32	1.43384e+006	796	679652	750654	100	90	0.966265	0.781502	52	51.3	0	575	1762	1.10105	0.814674	2031
33	1.40679e+006	700	688918	714182	100	90	0.790667	0.781502	52	51.3	0	575	1762	1.07786	0.774598	2031
34	1.4008e+006	622	700664	696836	100	90	0.855205	0.781502	52	51.3	0	575	1762	1.08795	0.790123	2031
35	1.29642e+006	681	658729	635015	100	90	1.08404	0.781502	52	51.3	0	575	1762	1.0953	0.804142	2031
36	1.28183e+006	732	662832	618995	100	90	1.35096	0.781502	52	51.3	0	575	1762	1.10331	0.830949	2031
37	1.24428e+006	847	651535	592742	100	90	1.83954	0.781502	52	51.3	0	575	1762	1.11902	0.859079	2031
38	1.22783e+006	919	648951	578880	100	90	2.54792	0.781502	52	51.3	0	575	1762	1.15437	0.881563	2031
39	1.17081e+006	749	622628	548179	100	90	2.68875	0.781502	52	51.3	0	575	1762	1.18402	0.890744	2031
40	1.15475e+006	651	617658	537091	100	90	2.76039	0.781502	52	51.3	0	575	1762	1.20838	0.901408	2031
41	1.06415e+006	541	573454	490691	100	90	2.81387	0.781502	52	51.3	0	575	1762	1.22961	0.889353	2031
42	999675	453	541914	457761	100	90	2.76553	0.781502	52	51.3	0	575	1762	1.25536	0.895	2031
43	961040	408	522361	438679	100	90	2.845	0.781502	52	51.3	0	575	1762	1.2956	0.927171	2031
44	932646	374	508880	423765	100	90	2.86434	0.781502	52	51.3	0	575	1762	1.33095	0.969605	2031
45	646619	338	239113	407506	100	90	2.8967	0.781502	52	51.3	0	575	1762	1.35457	0.996575	2031
46	684831	312	294708	379931	100	90	2.87131	0.781502	52	51.3	0	575	1762	1.3769	1.00752	2031
47	711065	289	336010	356028	100	90	2.89413	0.781502	52	51.3	0	575	1762	1.39203	1	2031
48	714392	261	359413	335053	100	90	2.93066	0.781502	52	51.3	0	575	1762	1.41699	1.01364	2031
49	666181	232	342280	304063	100	90	2.98144	0.781502	52	51.3	0	575	1762	1.43612	0.994924	2031
50	605507	205	317907	270301	100	90	3.0482	0.781502	52	51.3	0	575	1762	1.425	0.971591	2031
51	576821	193	315422	261399	100	90	3.01597	0.781502	52	51.3	0	575	1762	1.42632	0.963636	2031
52	293433	176	44178.3	249255	100	90	0.11584	0.781502	52	51.3	279688	575	1762	1.00729	0.780098	2031
53	496204	154	175593	320611	100	90	0.0708286	0.781502	52	51.3	279688	575	1762	1.00446	0.776073	2031
54	809215	145	347543	461672	100	90	0.0737772	0.781502	52	51.3	279688	575	1762	1.0049	0.783268	2031
55	869630	136	393982	475648	100	90	0.0831782	0.781502	52	51.3	279688	575	1762	1.00601	0.793906	2031
56	851541	123	407968	443574	100	90	0.0946871	0.781502	52	51.3	279688	575	1762	1.00707	0.789361	2031
57	952770	2363	475803	476967	100	90	1.45554	0.781502	52	51.3	279688	575	1762	1.00882	0.791645	2031
58	1.03715e+006	2167	525338	511814	100	90	1.84252	0.781502	52	51.3	279688	575	1762	1.01242	0.785714	2031
59	1.08193e+006	1725	553559	528369	100	90	1.96496	0.781502	52	51.3	279688	575	1762	1.01627	0.786765	2031
60	802890	1433	281215	521674	100	90	2.0612	0.781502	52	51.3	279688	575	1762	1.15954	1.04034	2031
61	898217	1200	390057	503822	100	90	1.25488	0.781502	52	51.3	0	575	1762	1.07985	0.861551	2031
62	972167	982	460875	505253	100	90	1.02906	0.781502	52	51.3	0	575	1762	1.06278	0.837374	2031
63	1.07494e+006	836	532648	535178	100	90	0.944629	0.781502	52	51.3	0	575	1762	1.05966	0.823056	2031
64	1.21422e+006	756	615109	592123	100	90	1.04211	0.781502	52	51.3	0	575	1762	1.06961	0.821826	2031
65	1.2167e+006	717	624611	586317	100	90	1.14669	0.781502	52	51.3	0	575	1762	1.0676	0.811024	2031
66	1.21187e+006	1236	632737	579134	100	90	2.13675	0.781502	52	51.3	0	575	1762	1.07068	0.803465	2031
67	1.19841e+006	1155	631039	567367	100	90	2.33543	0.781502	52	51.3	0	575	1762	1.07911	0.801084	2031
68	1.17068e+006	1057	621929	548748	100	90	2.52699	0.781502	52	51.3	0	575	1762	1.08994	0.812623	2031
69	1.14519e+006	901	612137	533051	100	90	2.57118	0.781502	52	51.3	0	575	1762	1.10128	0.819026	2031
70	1.12547e+006	773	604438	521031	100	90	2.58547	0.781502	52	51.3	0	575	1762	1.11434	0.82138	2031
71	1.05466e+006	637	569494	485166	100	90	2.66915	0.781502	52	51.3	0	575	1762	1.13514	0.823723	2031
