Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	590.2	0	295.1	295.1	100	90	0	0.782927	52	51.6	0	573	1552	1	0.771753	1831
2	16837.4	0	8187.95	8649.42	100	90	0	0.782927	52	51.6	0	573	1552	1	0.774221	1831
3	76602.7	0	40774.7	35828	100	90	0	0.782927	52	51.6	0	573	1552	1	0.773684	1831
4	228845	0	121519	107326	100	90	0	0.782927	52	51.6	0	573	1552	1	0.773044	1831
5	501040	0	264651	236389	100	90	0	0.782927	52	51.6	0	573	1552	1.00078	0.773123	1831
6	837635	767	441280	396355	100	90	2.66411	0.782927	52	51.6	0	573	1552	1.00708	0.78125	1831
7	1.13087e+006	1043	598216	532651	100	90	3.39158	0.782927	52	51.6	0	573	1552	1.01837	0.797203	1831
8	1.33271e+006	1055	710331	622376	100	90	3.41515	0.782927	52	51.6	0	573	1552	1.03234	0.81327	1831
9	1.46317e+006	977	785391	677774	100	90	3.22871	0.782927	52	51.6	0	573	1552	1.04617	0.830092	1831
10	1.55523e+006	918	839026	716205	100	90	3.1016	0.782927	52	51.6	0	573	1552	1.05743	0.846405	1831
11	1.62265e+006	870	878264	744381	100	90	3.0231	0.782927	52	51.6	0	573	1552	1.07099	0.862428	1831
12	1.69138e+006	857	917568	773809	100	90	3.05097	0.782927	52	51.6	0	573	1552	1.08341	0.881235	1831
13	1.72913e+006	834	940080	789055	100	90	3.04281	0.782927	52	51.6	0	573	1552	1.09981	0.896679	1831
14	1.75663e+006	821	956761	799870	100	90	3.07276	0.782927	52	51.6	0	573	1552	1.11426	0.910354	1831
15	1.77854e+006	816	970499	808041	100	90	3.15613	0.782927	52	51.6	0	573	1552	1.12128	0.913771	1831
16	1.80719e+006	798	975117	806805	100	90	3.14042	0.782927	52	51.6	0	573	1552	1.14064	0.927441	1831
17	1.84395e+006	791	983682	811392	100	90	3.15109	0.782927	52	51.6	0	573	1552	1.1542	0.942743	1831
18	1.87098e+006	791	995847	819875	100	90	3.20729	0.782927	52	51.6	0	573	1552	1.15714	0.940379	1831
19	1.8868e+006	785	1.00451e+006	826112	100	90	3.27246	0.782927	52	51.6	0	573	1552	1.15319	0.926897	1831
20	1.89686e+006	775	1.01082e+006	830723	100	90	3.28655	0.782927	52	51.6	0	573	1552	1.15106	0.919944	1831
