Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	549.2	0	274.6	274.6	100	90	0	0.774053	52	51.5	0	529	1771	1	0.763329	2007
2	16252.9	0	7902.46	8350.43	100	90	0	0.774053	52	51.5	0	529	1771	1	0.761194	2007
3	74877.8	0	39905.4	34972.3	100	90	0	0.774053	52	51.5	0	529	1771	1	0.761831	2007
4	224452	0	119059	105393	100	90	0	0.774053	52	51.5	0	529	1771	1	0.760991	2007
5	487190	0	257762	229428	100	90	0	0.774053	52	51.5	0	529	1771	1	0.762698	2007
6	813351	729	430181	383169	100	90	2.66571	0.774053	52	51.5	0	529	1771	1.00496	0.762072	2007
7	1.11015e+06	976	590400	519751	100	90	3.32734	0.774053	52	51.5	0	529	1771	1.02003	0.773109	2007
8	1.32781e+06	1005	710217	617595	100	90	3.42913	0.774053	52	51.5	0	529	1771	1.03077	0.78806	2007
9	1.47644e+06	951	795108	681328	100	90	3.30366	0.774053	52	51.5	0	529	1771	1.04272	0.80021	2007
10	1.56885e+06	898	849228	719623	100	90	3.17994	0.774053	52	51.5	0	529	1771	1.06368	0.829621	2007
11	1.63969e+06	863	890854	748832	100	90	3.12288	0.774053	52	51.5	0	529	1771	1.08007	0.853659	2007
12	1.69939e+06	846	926724	772666	100	90	3.11685	0.774053	52	51.5	0	529	1771	1.09038	0.861575	2007
13	1.74256e+06	839	951993	790571	100	90	3.16554	0.774053	52	51.5	0	529	1771	1.10383	0.875	2007
14	1.77596e+06	826	972013	803947	100	90	3.16917	0.774053	52	51.5	0	529	1771	1.11667	0.885822	2007
15	1.78685e+06	810	979299	807548	100	90	3.15385	0.774053	52	51.5	0	529	1771	1.13081	0.906615	2007
16	1.81478e+06	804	982812	806105	100	90	3.15978	0.774053	52	51.5	0	529	1771	1.15152	0.929894	2007
17	1.8485e+06	799	989102	808919	100	90	3.19171	0.774053	52	51.5	0	529	1771	1.15429	0.934051	2007
18	1.8734e+06	793	1.00024e+06	816864	100	90	3.23945	0.774053	52	51.5	0	529	1771	1.14695	0.924966	2007
19	1.88208e+06	788	1.00407e+06	821015	100	90	3.28741	0.774053	52	51.5	0	529	1771	1.14548	0.91148	2007
20	1.89379e+06	792	1.01231e+06	825164	100	90	3.34437	0.774053	52	51.5	0	529	1771	1.15578	0.902507	2007
