Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	394.8	0	197.4	197.4	100	90	0	0.810273	40	39.9	0	417	1407	1	0.817875	1494
2	12296.4	0	5998.13	6298.25	100	90	0	0.810273	40	39.9	0	417	1407	1	0.806818	1494
3	59931.1	0	31505.3	28425.9	100	90	0	0.810273	40	39.9	0	417	1407	1	0.806356	1494
4	189214	0	98393.4	90820.9	100	90	0	0.810273	40	39.9	0	417	1407	1	0.80668	1494
5	430630	0	223490	207140	100	90	0	0.810273	40	39.9	0	417	1407	1.00206	0.808533	1494
6	733210	573	381457	351753	100	90	2.46314	0.810273	40	39.9	0	417	1407	1.01559	0.82239	1494
7	984176	784	517087	467089	100	90	3.10732	0.810273	40	39.9	0	417	1407	1.03466	0.842582	1494
8	1.17072e+06	833	620690	550033	100	90	3.20815	0.810273	40	39.9	0	417	1407	1.06131	0.866906	1494
9	1.2914e+06	786	688521	602875	100	90	3.03972	0.810273	40	39.9	0	417	1407	1.08307	0.890724	1494
10	1.38078e+06	753	739502	641274	100	90	2.93411	0.810273	40	39.9	0	417	1407	1.10905	0.922975	1494
11	1.44278e+06	736	775227	667555	100	90	2.91576	0.810273	40	39.9	0	417	1407	1.1205	0.934426	1494
12	1.48106e+06	725	797620	683439	100	90	2.89815	0.810273	40	39.9	0	417	1407	1.13689	0.954993	1494
13	1.52377e+06	722	821480	702291	100	90	2.89973	0.810273	40	39.9	0	417	1407	1.16427	0.985673	1494
14	1.55282e+06	724	838069	714750	100	90	2.9159	0.810273	40	39.9	0	417	1407	1.18905	1.01901	1494
15	1.58321e+06	732	855073	728137	100	90	2.95567	0.810273	40	39.9	0	417	1407	1.21419	1.04896	1494
16	1.62822e+06	731	865170	734955	100	90	2.93898	0.810273	40	39.9	0	417	1407	1.24069	1.07994	1494
17	1.66264e+06	727	870471	740111	100	90	2.94438	0.810273	40	39.9	0	417	1407	1.26309	1.08689	1494
18	1.6715e+06	725	872805	743169	100	90	2.97506	0.810273	40	39.9	0	417	1407	1.25734	1.06656	1494
19	1.70277e+06	733	890181	755471	100	90	3.04789	0.810273	40	39.9	0	417	1407	1.25036	1.04992	1494
20	1.72389e+06	741	902835	764407	100	90	3.12607	0.810273	40	39.9	0	417	1407	1.25036	1.04094	1494
21	1.68245e+06	754	911846	770600	100	90	3.21473	0.810273	40	39.9	0	417	1407	1.25	1.03662	1494
22	1.68988e+06	755	917207	772674	100	90	1.10592	0.810273	40	39.9	0	417	1407	1.05855	0.832561	1494
23	1.70787e+06	741	923159	784711	100	90	1.08243	0.810273	40	39.9	0	417	1407	1.06178	0.844513	1494
24	1.73785e+06	731	937344	800511	100	90	1.08562	0.810273	40	39.9	0	417	1407	1.06491	0.860125	1494
25	1.74352e+06	717	941699	801824	100	90	1.13308	0.810273	40	39.9	0	417	1407	1.07292	0.897226	1494
26	1.74537e+06	703	944039	801335	100	90	1.22444	0.810273	40	39.9	0	417	1407	1.08783	0.919269	1494
27	1.76589e+06	1447	955120	810767	100	90	2.393	0.810273	40	39.9	0	417	1407	1.10893	0.940225	1494
28	1.80063e+06	1296	974041	826589	100	90	2.4765	0.810273	40	39.9	0	417	1407	1.13304	0.983444	1494
29	1.83829e+06	1203	995566	842724	100	90	2.5743	0.810273	40	39.9	0	417	1407	1.16013	0.999077	1494
30	1.36407e+06	1143	506749	857319	100	90	2.12879	0.810273	40	39.9	0	417	1407	1.488	1.59459	1494
31	1.43451e+06	1015	626271	807778	100	90	1.21545	0.810273	40	39.9	0	417	1407	1.16189	0.984013	1494
32	1.41635e+06	871	659165	756532	100	90	0.952333	0.810273	40	39.9	0	417	1407	1.10827	0.902963	1494
33	1.38955e+06	773	667836	721042	100	90	0.780752	0.810273	40	39.9	0	417	1407	1.08264	0.863111	1494
34	1.34645e+06	671	658497	687548	100	90	0.813615	0.810273	40	39.9	0	417	1407	1.09172	0.862418	1494
35	1.32137e+06	768	657353	663616	100	90	1.05809	0.810273	40	39.9	0	417	1407	1.10203	0.891365	1494
36	1.22717e+06	798	621096	606077	100	90	1.29103	0.810273	40	39.9	0	417	1407	1.11165	0.909205	1494
37	1.18276e+06	945	606713	576051	100	90	1.85761	0.810273	40	39.9	0	417	1407	1.13337	0.920434	1494
38	812294	934	276448	535846	100	90	2.41422	0.810273	40	39.9	0	417	1407	1.16923	0.916667	1494
39	882476	804	362555	519921	100	90	2.58119	0.810273	40	39.9	0	417	1407	1.20478	0.955182	1494
40	660056	711	159126	500931	100	90	2.69393	0.810273	40	39.9	293809	417	1407	1.2147	0.960506	1494
41	727287	636	247935	479352	100	90	2.86228	0.810273	40	39.9	293809	417	1407	1.23045	0.957447	1494
42	749359	542	309847	439512	100	90	2.90019	0.810273	40	39.9	293809	417	1407	1.26027	0.983015	1494
43	750030	469	346749	403281	100	90	2.89358	0.810273	40	39.9	293809	417	1407	1.27767	0.997543	1494
44	729917	415	360732	369185	100	90	2.86994	0.810273	40	39.9	293809	417	1407	1.30184	1.02204	1494
45	711536	375	364103	347433	100	90	2.85295	0.810273	40	39.9	293809	417	1407	1.32134	1.04587	1494
46	396963	333	80418.3	316505	100	90	2.81056	0.810273	40	39.9	604101	417	1407	1.36842	1.06849	1494
47	433618	308	135237	292008	100	90	2.88881	0.810273	40	39.9	604101	417	1407	1.36808	1.04833	1494
48	442309	282	179296	253637	100	90	2.98698	0.810273	40	39.9	604101	417	1407	1.37591	1.04098	1494
49	456055	262	209352	234479	100	90	3.02867	0.810273	40	39.9	604101	417	1407	1.39676	1.06195	1494
50	443542	232	218922	213845	100	90	3.11777	0.810273	40	39.9	604101	417	1407	1.37557	1	1494
51	390457	198	204155	186302	100	90	3.02655	0.810273	40	39.9	604101	417	1407	1.40314	1.00571	1494
52	216534	181	44250.5	172283	100	90	0.115834	0.810273	40	39.9	777209	417	1407	1.00638	0.806826	1494
53	448637	168	179290	269347	100	90	0.082117	0.810273	40	39.9	777209	417	1407	1.00445	0.805903	1494
54	791065	153	360681	430383	100	90	0.0821876	0.810273	40	39.9	777209	417	1407	1.00482	0.810979	1494
55	885643	143	415419	470224	100	90	0.0899582	0.810273	40	39.9	777209	417	1407	1.00563	0.827625	1494
56	838525	125	407945	430580	100	90	0.0971975	0.810273	40	39.9	777209	417	1407	1.00647	0.841186	1494
57	928284	2546	466143	462141	100	90	1.42744	0.810273	40	39.9	777209	417	1407	1.00799	0.832496	1494
58	1.02369e+06	2157	519797	503890	100	90	1.68257	0.810273	40	39.9	777209	417	1407	1.01142	0.81751	1494
59	1.03887e+06	1668	531272	507600	100	90	1.77963	0.810273	40	39.9	777209	417	1407	1.01451	0.811147	1494
60	804174	1457	279859	524315	100	90	1.85214	0.810273	40	39.9	777209	417	1407	1.19432	1.12821	1494
61	903163	1245	396939	505813	100	90	1.29254	0.810273	40	39.9	0	417	1407	1.1058	0.924976	1494
