Time	Inds	seedlings	seeds	repromass	cover	shootmass	PFT
1	0	19	11	0	0	19	LECIcl3plb
1	0	19	11	0	0	19	LSCAplb
1	0	20	10	0	0	20	LSCIcl1plb
1	0	8	22	0	0	8	LSCIcl2plb
1	0	9	21	0	0	9	LSCIplb
1	0	16	14	0	0	16	LSCTplb
1	0	10	20	0	0	3	MECIcl3plb
1	0	16	14	0	0	4.8	MECIcl4plb
1	0	14	16	0	0	4.2	MECTcl3peb
1	0	15	15	0	0	4.5	MEITplb
1	0	15	15	0	0	4.5	MESTcl1plb
1	0	13	17	0	0	3.9	MRITcl3peb
1	0	17	12	0	0	5.1	MSCAcl3plb
1	0	11	19	0	0	3.3	MSCIcl1plb
1	0	14	16	0	0	4.2	MSCIcl3plb
1	0	19	11	0	0	5.7	MSCIplb
1	0	16	14	0	0	4.8	MSCTcl1plb
1	0	13	16	0	0	3.9	MSCTcl2plb
1	0	15	15	0	0	4.5	MSCTcl3plb
1	0	15	14	0	0	4.5	MSIAcl1plb
1	0	18	12	0	0	5.4	MSIIplb
1	0	15	15	0	0	4.5	MSITcl1plb
1	0	17	13	0	0	5.1	MSITcl3plb
1	0	14	16	0	0	4.2	MSITcl4plb
1	0	14	16	0	0	4.2	MSSIcl1plb
1	0	16	13	0	0	4.8	MSSTcl3plb
1	0	15	15	0	0	1.5	SECTpeb
1	0	15	15	0	0	1.5	SEIAcl4peb
1	0	12	18	0	0	1.2	SEITcl3peb
1	0	19	11	0	0	1.9	SEITcl4peb
1	0	11	19	0	0	1.1	SRIAcl1peb
1	0	14	16	0	0	1.4	SRIAcl1plb
1	0	10	18	0	0	1	SRIAcl2plb
1	0	14	16	0	0	1.4	SRIAcl4peb
1	0	9	19	0	0	0.9	SRITcl1plb
1	0	15	15	0	0	1.5	SSCTplb
1	0	15	15	0	0	1.5	SSIAcl4plb
1	0	20	10	0	0	2	SSITcl2plb
1	0	18	12	0	0	1.8	SSITcl3plb
1	0	12	18	0	0	1.2	SSITcl4plb
2	0	22	8	0	0.000634836	214.373	LECIcl3plb
2	0	28	2	0	0.000634836	230.499	LSCAplb
2	0	25	5	0	0.000668248	227.498	LSCIcl1plb
2	0	18	12	0	0.000267299	98.9991	LSCIcl2plb
2	0	16	14	0	0.000300712	111.92	LSCIplb
2	0	21	9	0	0.000534599	191.524	LSCTplb
2	0	20	9	0	0.000334124	107.25	MECIcl3plb
2	0	22	7	0	0.000534599	158.475	MECIcl4plb
2	0	20	10	0	0.000467774	147.75	MECTcl3peb
2	0	22	8	0	0.000501186	156.6	MEITplb
2	0	22	8	0	0.000501186	81.5998	MESTcl1plb
2	0	22	8	0	0.000434361	136.6	MRITcl3peb
2	0	21	7	0	0.000568011	168.3	MSCAcl3plb
2	0	18	12	0	0.000367537	116.775	MSCIcl1plb
2	0	23	6	0	0.000467774	148.65	MSCIcl3plb
2	0	24	6	0	0.000634836	209.699	MSCIplb
2	0	22	8	0	0.000534599	168.599	MSCTcl1plb
2	0	21	8	0	0.000434361	137.924	MSCTcl2plb
2	0	24	6	0	0.000501186	159.074	MSCTcl3plb
2	0	23	6	0	0.000501186	156.9	MSIAcl1plb
2	0	25	5	0	0.000601423	187.5	MSIIplb
2	0	19	11	0	0.000501186	155.7	MSITcl1plb
2	0	21	9	0	0.000568011	176.299	MSITcl3plb
2	0	26	4	0	0.000467774	147.8	MSITcl4plb
2	0	24	5	0	0.000467774	77.1998	MSSIcl1plb
2	0	23	6	0	0.000534599	86.8998	MSSTcl3plb
2	0	21	9	0	0.000501186	161.968	SECTpeb
2	0	22	8	0	0.000501186	152.2	SEIAcl4peb
2	0	23	7	0	0.000400949	122.3	SEITcl3peb
2	0	25	5	0	0.000634836	192.5	SEITcl4peb
2	0	20	10	0	0.000367537	112	SRIAcl1peb
2	0	19	11	0	0.000467774	141.9	SRIAcl1plb
2	0	20	8	0	0.000334124	102	SRIAcl2plb
2	0	20	10	0	0.000467774	142	SRIAcl4peb
2	0	17	11	0	0.000300712	91.6999	SRITcl1plb
2	0	22	8	0	0.000501186	162.068	SSCTplb
2	0	20	10	0	0.000501186	152	SSIAcl4plb
