Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	407	0	203.5	203.5	100	90	0	0.860186	40	39.7	0	192	2120	1	0.804523	1931
2	12769.5	0	6239.39	6530.11	100	90	0	0.860186	40	39.7	0	192	2120	1	0.801111	1931
3	61020.5	0	31872.9	29147.6	100	90	0	0.860186	40	39.7	0	192	2120	1	0.805748	1931
4	189710	0	98421.2	91289.2	100	90	0	0.860186	40	39.7	0	192	2120	1	0.805471	1931
5	423260	0	219408	203852	100	90	0	0.860186	40	39.7	0	192	2120	1.00102	0.805643	1931
6	721206	592	375508	345699	100	90	2.52234	0.860186	40	39.7	0	192	2120	1.01763	0.822198	1931
7	982871	808	515753	467118	100	90	3.17208	0.860186	40	39.7	0	192	2120	1.03665	0.8386	1931
8	1.17213e+06	843	621425	550705	100	90	3.25251	0.860186	40	39.7	0	192	2120	1.05497	0.85782	1931
9	1.30993e+06	812	698957	610970	100	90	3.15508	0.860186	40	39.7	0	192	2120	1.07181	0.874539	1931
10	1.40578e+06	778	753010	652773	100	90	3.03963	0.860186	40	39.7	0	192	2120	1.09617	0.901028	1931
11	1.45791e+06	748	783514	674391	100	90	2.939	0.860186	40	39.7	0	192	2120	1.12206	0.930388	1931
12	1.50768e+06	739	811668	696011	100	90	2.93012	0.860186	40	39.7	0	192	2120	1.13841	0.961379	1931
13	1.53912e+06	730	829702	709414	100	90	2.91858	0.860186	40	39.7	0	192	2120	1.15266	0.974468	1931
14	1.56797e+06	727	846362	721605	100	90	2.95799	0.860186	40	39.7	0	192	2120	1.16626	0.981268	1931
15	1.57743e+06	716	851944	725491	100	90	2.94399	0.860186	40	39.7	0	192	2120	1.18424	0.995569	1931
16	1.60346e+06	717	852259	723800	100	90	2.93187	0.860186	40	39.7	0	192	2120	1.20649	1.02421	1931
17	1.6431e+06	720	861389	731069	100	90	2.97429	0.860186	40	39.7	0	192	2120	1.21362	1.03823	1931
18	1.6658e+06	725	871049	740539	100	90	3.03393	0.860186	40	39.7	0	192	2120	1.21871	1.03549	1931
19	1.68586e+06	729	881386	749307	100	90	3.09016	0.860186	40	39.7	0	192	2120	1.21369	1.02181	1931
20	1.6945e+06	727	886958	753137	100	90	3.13585	0.860186	40	39.7	0	192	2120	1.22206	1.02381	1931
21	1.65476e+06	740	896427	758329	100	90	3.21995	0.860186	40	39.7	0	192	2120	1.2284	1.02729	1931
22	1.64727e+06	736	893419	753854	100	90	1.02594	0.860186	40	39.7	0	192	2120	1.04936	0.818958	1931
23	1.6709e+06	724	903047	767854	100	90	0.993048	0.860186	40	39.7	0	192	2120	1.05184	0.822873	1931
24	1.70559e+06	715	920157	785432	100	90	0.98836	0.860186	40	39.7	0	192	2120	1.05437	0.838217	1931
