Time	Inds	seedlings	seeds	repromass	cover	shootmass	PFT
1	0	19	11	0	0	19	LECIcl3plb
1	0	14	16	0	0	14	LSCAplb
1	0	16	14	0	0	16	LSCIcl1plb
1	0	17	12	0	0	17	LSCIcl2plb
1	0	14	16	0	0	14	LSCIplb
1	0	13	17	0	0	13	LSCTplb
1	0	17	13	0	0	5.1	MECIcl3plb
1	0	15	15	0	0	4.5	MECIcl4plb
1	0	14	16	0	0	4.2	MECTcl3peb
1	0	17	13	0	0	5.1	MEITplb
1	0	18	12	0	0	5.4	MESTcl1plb
1	0	20	10	0	0	6	MRITcl3peb
1	0	14	16	0	0	4.2	MSCAcl3plb
1	0	18	12	0	0	5.4	MSCIcl1plb
1	0	16	14	0	0	4.8	MSCIcl3plb
1	0	14	16	0	0	4.2	MSCIplb
1	0	16	14	0	0	4.8	MSCTcl1plb
1	0	12	18	0	0	3.6	MSCTcl2plb
1	0	17	13	0	0	5.1	MSCTcl3plb
1	0	13	17	0	0	3.9	MSIAcl1plb
1	0	12	18	0	0	3.6	MSIIplb
1	0	16	14	0	0	4.8	MSITcl1plb
1	0	19	11	0	0	5.7	MSITcl3plb
1	0	15	15	0	0	4.5	MSITcl4plb
1	0	11	19	0	0	3.3	MSSIcl1plb
1	0	19	11	0	0	5.7	MSSTcl3plb
1	0	13	17	0	0	1.3	SECTpeb
1	0	14	15	0	0	1.4	SEIAcl4peb
1	0	9	21	0	0	0.9	SEITcl3peb
1	0	13	17	0	0	1.3	SEITcl4peb
1	0	14	16	0	0	1.4	SRIAcl1peb
1	0	10	20	0	0	1	SRIAcl1plb
1	0	17	13	0	0	1.7	SRIAcl2plb
1	0	19	11	0	0	1.9	SRIAcl4peb
1	0	15	15	0	0	1.5	SRITcl1plb
1	0	9	21	0	0	0.9	SSCTplb
1	0	12	18	0	0	1.2	SSIAcl4plb
1	0	13	17	0	0	1.3	SSITcl2plb
1	0	17	13	0	0	1.7	SSITcl3plb
1	0	16	14	0	0	1.6	SSITcl4plb
2	0	23	7	0	0.000634836	215.373	LECIcl3plb
2	0	20	10	0	0.000467774	169.21	LSCAplb
2	0	23	7	0	0.000534599	184.998	LSCIcl1plb
2	0	22	7	0	0.000568011	194.123	LSCIcl2plb
2	0	21	9	0	0.000467774	170.209	LSCIplb
2	0	18	12	0	0.000434361	156.551	LSCTplb
2	0	22	7	0	0.000568011	168.6	MECIcl3plb
2	0	24	6	0	0.000501186	159.075	MECIcl4plb
2	0	23	7	0	0.000467774	148.65	MECTcl3peb
2	0	24	6	0	0.000568011	177.2	MEITplb
2	0	23	6	0	0.000601423	91.8998	MESTcl1plb
2	0	24	6	0	0.000668248	207.199	MRITcl3peb
2	0	16	14	0	0.000467774	146.55	MSCAcl3plb
2	0	22	7	0	0.000601423	178.724	MSCIcl1plb
2	0	22	8	0	0.000534599	168.599	MSCIcl3plb
2	0	25	5	0	0.000467774	156.71	MSCIplb
2	0	26	4	0	0.000534599	169.799	MSCTcl1plb
2	0	23	7	0	0.000400949	128.399	MSCTcl2plb
2	0	25	5	0	0.000568011	179.624	MSCTcl3plb
2	0	23	7	0	0.000434361	136.9	MSIAcl1plb
2	0	22	8	0	0.000400949	126.6	MSIIplb
2	0	23	6	0	0.000534599	156.9	MSITcl1plb
2	0	22	8	0	0.000634836	196.599	MSITcl3plb
2	0	21	9	0	0.000501186	156.3	MSITcl4plb
2	0	21	9	0	0.000367537	61.2999	MSSIcl1plb
2	0	26	4	0	0.000634836	102.8	MSSTcl3plb
2	0	21	9	0	0.000434361	140.653	SECTpeb
2	0	20	8	0	0.000467774	142	SEIAcl4peb
2	0	19	11	0	0.000300712	91.8999	SEITcl3peb
2	0	21	9	0	0.000434361	132.1	SEITcl4peb
2	0	20	10	0	0.000467774	142	SRIAcl1peb
2	0	18	12	0	0.000334124	101.8	SRIAcl1plb
2	0	21	9	0	0.000568011	172.1	SRIAcl2plb
2	0	25	5	0	0.000634836	192.5	SRIAcl4peb
2	0	23	7	0	0.000501186	152.3	SRITcl1plb
2	0	20	10	0	0.000300712	97.9209	SSCTplb
2	0	19	10	0	0.000400949	111.9	SSIAcl4plb
2	0	18	11	0	0.000434361	121.8	SSITcl2plb
2	0	21	9	0	0.000568011	172.1	SSITcl3plb
2	0	20	10	0	0.000534599	162	SSITcl4plb
3	0	28	2	0	0.00197133	1082.03	LECIcl3plb
3	0	24	5	0	0.00158709	854.509	LSCAplb
3	0	27	3	0	0.00233887	1098.41	LSCIcl1plb
3	0	25	3	0	0.00240569	1154.19	LSCIcl2plb
3	0	24	6	0	0.00199918	993.292	LSCIplb
3	0	25	5	0	0.00230546	1032.71	LSCTplb
3	0	28	1	0	0.00183768	950.325	MECIcl3plb
3	0	28	2	0	0.00178756	899.527	MECIcl4plb
3	0	25	5	0	0.00213839	988.338	MECTcl3peb
3	0	25	5	0	0.00193792	757.049	MEITplb
3	0	26	3	0	0.0013365	292.74	MESTcl1plb
3	0	26	4	0	0.00337465	1192.45	MRITcl3peb
3	0	21	9	0	0.000985666	587.926	MSCAcl3plb
3	0	23	6	0	0.00185439	960.375	MSCIcl1plb
3	0	25	5	0	0.00178756	943.156	MSCIcl3plb
3	0	28	2	0	0.00219965	1054.08	MSCIplb
3	0	28	2	0	0.0024224	1127.35	MSCTcl1plb
3	0	25	5	0	0.00193792	860.231	MSCTcl2plb
3	0	26	4	0	0.00248922	1157.14	MSCTcl3plb
3	0	25	5	0	0.00118614	497.274	MSIAcl1plb
3	0	28	2	0	0.00148128	588.087	MSIIplb
3	0	28	1	0	0.00227204	815.088	MSITcl1plb
3	0	26	4	0	0.00263958	987.139	MSITcl3plb
3	0	24	6	0	0.00217181	803.585	MSITcl4plb
3	0	28	2	0	0.0010692	218.795	MSSIcl1plb
3	0	26	4	0	0.00213839	422.041	MSSTcl3plb
3	0	23	7	0	0.00193235	938.113	SECTpeb
3	0	24	4	0	0.00113602	474.213	SEIAcl4peb
3	0	24	6	0	0.00123626	461.822	SEITcl3peb
3	0	25	5	0	0.00157038	601.664	SEITcl4peb
3	0	21	8	0	0.00154811	611.386	SRIAcl1peb
3	0	22	8	0	0.00125297	481.69	SRIAcl1plb
3	0	24	6	0	0.00173745	721.533	SRIAcl2plb
3	0	26	4	0	0.00203259	805.336	SRIAcl4peb
3	0	26	4	0	0.00272311	942.009	SRITcl1plb
3	0	21	8	0	0.00187109	768.805	SSCTplb
3	0	22	7	0	0.00100237	397.317	SSIAcl4plb
3	0	19	10	0	0.00183768	652.295	SSITcl2plb
3	0	28	2	0	0.00230546	857.943	SSITcl3plb
3	0	25	5	0	0.00219965	819.617	SSITcl4plb
4	0	27	2	0	0.00454687	2832.29	LECIcl3plb
4	0	24	5	0	0.00372548	2516.4	LSCAplb
4	0	24	3	0	0.0062871	3504	LSCIcl1plb
4	0	25	3	0	0.00620914	3579.25	LSCIcl2plb
4	0	23	6	0	0.00538497	3176.45	LSCIplb
4	0	25	5	0	0.00664629	3500.11	LSCTplb
4	0	28	1	0	0.00439373	2776.59	MECIcl3plb
4	0	27	2	0	0.00417934	2672.21	MECIcl4plb
4	0	25	5	0	0.00608106	3280.38	MECTcl3peb
4	0	24	5	0	0.00503414	2279.77	MEITplb
4	0	26	3	0	0.00260617	702.276	MESTcl1plb
4	0	26	4	0	0.00996525	3987.11	MRITcl3peb
4	0	20	9	0	0.00245024	1608.12	MSCAcl3plb
4	0	23	6	0	0.00495061	2841.09	MSCIcl1plb
4	0	25	5	0	0.00517614	2919.85	MSCIcl3plb
4	0	28	2	0	0.00600866	3489.38	MSCIplb
4	0	28	2	0	0.00828071	3670.05	MSCTcl1plb
4	0	24	5	0	0.00636506	2808.94	MSCTcl2plb
4	0	26	4	0	0.00796886	3620.38	MSCTcl3plb
4	0	25	5	0	0.00272311	1353.84	MSIAcl1plb
4	0	27	2	0	0.0038118	1790.57	MSIIplb
4	0	25	1	0	0.00636785	2593.87	MSITcl1plb
4	0	26	4	0	0.00775725	3406.82	MSITcl3plb
4	0	24	6	0	0.00620914	2753.1	MSITcl4plb
4	0	28	2	0	0.00228875	562.04	MSSIcl1plb
4	0	26	4	0	0.00483366	1159.98	MSSTcl3plb
4	0	23	7	0	0.00515108	3021.61	SECTpeb
4	0	24	4	0	0.00226648	1148.89	SEIAcl4peb
4	0	24	6	0	0.00337465	1483.74	SEITcl3peb
4	0	25	5	0	0.00408188	1876.61	SEITcl4peb
4	0	19	8	0	0.00321316	1447.69	SRIAcl1peb
4	0	22	8	0	0.00276766	1306.67	SRIAcl1plb
4	0	24	6	0	0.0034025	1817.15	SRIAcl2plb
4	0	23	4	0	0.00385078	1943.51	SRIAcl4peb
4	0	26	4	0	0.00844777	3298.1	SRITcl1plb
4	0	19	8	0	0.00580819	2881.64	SSCTplb
4	0	22	7	0	0.00187109	969.689	SSIAcl4plb
4	0	18	10	0	0.00513437	2031.41	SSITcl2plb
4	0	28	2	0	0.00644303	2797.43	SSITcl3plb
4	0	25	5	0	0.00632051	2756.6	SSITcl4plb
5	0	26	2	0	0.00774889	6060.37	LECIcl3plb
5	0	23	5	0	0.0065544	5456.25	LSCAplb
5	0	24	3	0	0.0119811	8079.2	LSCIcl1plb
5	0	23	3	0	0.0113045	7882.87	LSCIcl2plb
5	0	23	6	0	0.0105472	7445.81	LSCIplb
5	0	25	5	0	0.0136707	8330.89	LSCTplb
5	0	27	1	0	0.00826957	5984.84	MECIcl3plb
5	0	26	2	0	0.00795772	5615.43	MECIcl4plb
5	0	25	5	0	0.0115607	7637.02	MECTcl3peb
5	0	24	5	0	0.00933042	5337.5	MEITplb
5	0	25	3	0	0.00429906	1397.96	MESTcl1plb
5	0	26	4	0	0.0196042	9059.85	MRITcl3peb
5	0	19	9	0	0.00446613	3426.1	MSCAcl3plb
5	0	23	6	0	0.00950026	6247.17	MSCIcl1plb
5	0	25	5	0	0.0108167	6807.05	MSCIcl3plb
5	0	26	2	0	0.011647	7909.73	MSCIplb
5	0	30	2	0	0.0167396	9276.8	MSCTcl1plb
5	0	23	5	0	0.0127802	6851.57	MSCTcl2plb
5	0	27	4	0	0.0155306	8809.21	MSCTcl3plb
5	0	24	5	0	0.00446613	2686.48	MSIAcl1plb
5	0	27	2	0	0.00723936	4065.45	MSIIplb
5	0	24	1	0	0.0117523	6045.1	MSITcl1plb
5	0	26	4	0	0.0156955	8232.18	MSITcl3plb
5	0	24	6	0	0.0126577	6475.85	MSITcl4plb
5	0	28	2	0	0.00381458	1180.88	MSSIcl1plb
5	0	26	4	0	0.00755677	2343.95	MSSTcl3plb
5	0	22	7	0	0.00970074	6612.03	SECTpeb
5	0	21	4	0	0.00321316	2096.77	SEIAcl4peb
5	0	24	6	0	0.00667691	3578.43	SEITcl3peb
5	0	25	5	0	0.00747881	4192.48	SEITcl4peb
5	0	19	8	0	0.00484758	2892.18	SRIAcl1peb
5	0	20	8	0	0.00471672	2470.12	SRIAcl1plb
5	0	24	6	0	0.0056634	3519.06	SRIAcl2plb
5	0	23	4	0	0.00617016	3764.06	SRIAcl4peb
5	0	26	4	0	0.0180873	7877.38	SRITcl1plb
5	0	19	8	0	0.0127635	6883.58	SSCTplb
5	0	21	7	0	0.00293194	1838.54	SSIAcl4plb
5	0	18	10	0	0.00936104	4686.62	SSITcl2plb
5	0	27	2	0	0.0126633	6319.07	SSITcl3plb
5	0	24	5	0	0.0124573	6262.09	SSITcl4plb
6	18	8	2	0	0.0110066	10644	LECIcl3plb
6	14	9	5	0	0.00936661	9671.84	LSCAplb
6	16	9	3	0	0.018604	14927.8	LSCIcl1plb
6	16	7	3	0	0.0157317	13120.4	LSCIcl2plb
6	14	9	6	0	0.0163086	13758	LSCIplb
6	13	9	5	0	0.0213522	14750.2	LSCTplb
6	16	10	1	0	0.0122958	10431.4	MECIcl3plb
6	14	11	2	0	0.011931	9716.57	MECIcl4plb
6	14	12	5	0	0.0176835	13550.1	MECTcl3peb
6	17	6	5	0	0.0139358	9692.15	MEITplb
6	16	8	3	0	0.00590564	2303.38	MESTcl1plb
6	20	7	4	0	0.0291351	14827.1	MRITcl3peb
6	14	5	9	0	0.00666299	5966.68	MSCAcl3plb
6	17	6	6	0	0.0133193	10517.3	MSCIcl1plb
6	15	9	5	0	0.0165748	11925.8	MSCIcl3plb
6	13	10	2	0	0.0176273	12736	MSCIplb
6	16	16	2	0	0.0274316	16080.1	MSCTcl1plb
6	12	11	5	0	0.0201894	12249.3	MSCTcl2plb
6	17	9	4	0	0.0253377	15446.5	MSCTcl3plb
6	10	12	5	0	0.0063233	4135.18	MSIAcl1plb
6	12	14	2	0	0.0107727	7285.75	MSIIplb
6	14	10	1	0	0.0184253	10822.3	MSITcl1plb
6	19	7	4	0	0.0249396	14976	MSITcl3plb
6	15	9	6	0	0.0188301	11477.6	MSITcl4plb
6	10	15	2	0	0.00542673	1959.93	MSSIcl1plb
6	19	6	4	0	0.0107922	3953.42	MSSTcl3plb
6	13	9	7	0	0.0149799	10696.8	SECTpeb
6	14	7	4	0	0.00396048	3201.26	SEIAcl4peb
6	9	15	6	0	0.0104564	6520.86	SEITcl3peb
6	13	11	5	0	0.0107226	7203.41	SEITcl4peb
6	13	4	8	0	0.00691637	4778.76	SRIAcl1peb
6	9	10	8	0	0.00618408	4110.38	SRIAcl1plb
6	15	5	6	0	0.00778509	5066.35	SRIAcl2plb
6	17	4	4	0	0.00809137	5762.91	SRIAcl4peb
6	15	11	4	0	0.0291434	12540.2	SRITcl1plb
6	9	10	8	0	0.0212113	10652.7	SSCTplb
6	11	9	7	0	0.0036698	2703.87	SSIAcl4plb
6	10	5	10	0	0.0139508	7258.64	SSITcl2plb
6	17	9	2	0	0.0190256	10124	SSITcl3plb
6	16	7	5	0	0.0183128	10088.5	SSITcl4plb
7	22	4	2	0	0.0142365	16354.2	LECIcl3plb
7	19	4	5	0	0.0122969	14979.1	LSCAplb
7	21	4	3	0	0.0246798	22703.8	LSCIcl1plb
7	20	5	3	0	0.0196749	19331.9	LSCIcl2plb
7	18	3	6	0	0.02113	19657.3	LSCIplb
7	17	4	5	0	0.0286211	22531	LSCTplb
7	20	4	1	0	0.0155501	14750.9	MECIcl3plb
7	22	3	2	0	0.0151019	14358.2	MECIcl4plb
7	22	2	5	0	0.0226286	18004.1	MECTcl3peb
7	22	1	5	0	0.0188652	14942.3	MEITplb
7	22	2	3	0	0.00751055	3549.35	MESTcl1plb
7	23	3	4	0	0.0359448	19144.2	MRITcl3peb
7	16	3	9	0	0.00855358	8802.87	MSCAcl3plb
7	19	0	6	0	0.0161293	13562.6	MSCIcl1plb
7	20	3	5	0	0.0215029	16904.6	MSCIcl3plb
7	21	2	2	0	0.021262	17840	MSCIplb
7	25	10	2	0	0.0353169	21148.5	MSCTcl1plb
7	21	6	5	0	0.0262738	16683.1	MSCTcl2plb
7	24	3	4	0	0.0332501	20966.8	MSCTcl3plb
7	18	2	5	0	0.00733737	5797.91	MSIAcl1plb
7	22	4	2	0	0.0135799	10990.3	MSIIplb
7	20	6	1	0	0.0236811	15373.2	MSITcl1plb
7	22	3	4	0	0.0324512	21076.5	MSITcl3plb
7	20	1	6	0	0.0245787	15392.3	MSITcl4plb
7	18	7	2	0	0.00685456	2964.07	MSSIcl1plb
7	24	0	4	0	0.013522	5834.01	MSSTcl3plb
7	20	2	7	0	0.0191487	13045	SECTpeb
7	16	2	4	0	0.00439874	3858.54	SEIAcl4peb
7	17	3	6	0	0.0141162	9055.64	SEITcl3peb
7	20	4	5	0	0.0139408	9961.2	SEITcl4peb
7	15	2	8	0	0.00830855	6539.91	SRIAcl1peb
7	16	2	8	0	0.00779066	5691.57	SRIAcl1plb
7	18	2	6	0	0.00862597	6480.01	SRIAcl2plb
